2016-06-17_05:17:16 1466133436 0x5; 68 rTX 2
2016-06-17_05:17:16 1466133436 0x5; 68 rTX 3
2016-06-17_05:17:16 1466133436 0x5; 68 rTX 4
2016-06-17_05:17:16 1466133436 0x5; 68 rTX 5
2016-06-17_05:17:16 1466133436 0x5; 68 rTX 6
2016-06-17_05:17:17 1466133437 0x5; 68 rTX 7
2016-06-17_05:17:18 1466133438 0x5; 68 rTX 8
2016-06-17_05:17:21 1466133441 0x5; 68 rTX 9
2016-06-17_05:17:28 1466133448 0x5; 68 rTX 10
2016-06-17_05:17:42 1466133462 0x5; 68 rTXERR
2016-06-17_05:19:15 1466133555 0x5; 69 rTX 0
2016-06-17_05:19:16 1466133556 0x5; 69 rTX 1
2016-06-17_05:19:16 1466133556 0x5; 69 rTX 2
2016-06-17_05:19:16 1466133556 0x5; 69 rTX 3
2016-06-17_05:19:16 1466133556 0x5; 69 rTX 4
2016-06-17_05:19:16 1466133556 0x5; 69 rTX 5
2016-06-17_05:19:16 1466133556 0x5; 69 rTX 6
2016-06-17_05:19:17 1466133557 0x5; 69 rTX 7
2016-06-17_05:19:19 1466133559 0x5; 69 rTX 8
2016-06-17_05:19:23 1466133563 0x5; 69 rTX 9
2016-06-17_05:19:29 1466133569 0x5; 69 rTX 10
2016-06-17_05:19:37 1466133577 0x5; 69 rTXERR
2016-06-17_05:21:15 1466133675 0x5; 70 rTX 0
2016-06-17_05:21:15 1466133675 0x5; 70 rTX 1
2016-06-17_05:21:15 1466133675 0x5; 70 rTX 2
2016-06-17_05:21:15 1466133675 0x5; 70 rTX 3
2016-06-17_05:21:16 1466133676 0x5; 70 rTX 4
2016-06-17_05:21:16 1466133676 0x5; 70 rTX 5
2016-06-17_05:21:16 1466133676 0x5; 70 rTX 6
2016-06-17_05:21:17 1466133677 0x5; 70 rTX 7
2016-06-17_05:21:18 1466133678 0x5; 70 rTX 8
2016-06-17_05:21:21 1466133681 0x5; 70 rTX 9
2016-06-17_05:21:27 1466133687 0x5; 70 rTX 10
2016-06-17_05:21:42 1466133702 0x5; 70 rTXERR
2016-06-17_05:23:15 1466133795 0x5; 71 rTX 0
2016-06-17_05:23:15 1466133795 0x5; 71 rTX 1
2016-06-17_05:23:15 1466133795 0x5; 71 rTX 2
2016-06-17_05:23:15 1466133795 0x5; 71 rTX 3
2016-06-17_05:23:15 1466133795 0x5; 71 rTX 4
2016-06-17_05:23:16 1466133796 0x5; 71 rTX 5
2016-06-17_05:23:16 1466133796 0x5; 71 rTX 6
2016-06-17_05:23:17 1466133797 0x5; 71 rTX 7
2016-06-17_05:23:19 1466133799 0x5; 71 rTX 8
2016-06-17_05:23:22 1466133802 0x5; 71 rTX 9
2016-06-17_05:23:27 1466133807 0x5; 71 rTX 10
2016-06-17_05:23:38 1466133818 0x5; 71 rTXERR
2016-06-17_05:25:15 1466133915 0x5; 72 rTX 0
2016-06-17_05:25:15 1466133915 0x5; 72 rTX 1
2016-06-17_05:25:15 1466133915 0x5; 72 rTX 2
2016-06-17_05:25:16 1466133916 0x5; 72 rTX 3
2016-06-17_05:25:16 1466133916 0x5; 72 rTX 4
2016-06-17_05:25:16 1466133916 0x5; 72 rTX 5
2016-06-17_05:25:16 1466133916 0x5; 72 rTX 6
2016-06-17_05:25:17 1466133917 0x5; 72 rTX 7
2016-06-17_05:25:19 1466133919 0x5; 72 rTX 8
2016-06-17_05:25:22 1466133922 0x5; 72 rTX 9
2016-06-17_05:25:29 1466133929 0x5; 72 rTX 10
2016-06-17_05:25:43 1466133943 0x5; 72 rTXERR
2016-06-17_05:27:15 1466134035 0x5; 73 rTX 0
2016-06-17_05:27:15 1466134035 0x5; 73 rTX 1
2016-06-17_05:27:15 1466134035 0x5; 73 rTX 2
2016-06-17_05:27:15 1466134035 0x5; 73 rTX 3
2016-06-17_05:27:15 1466134035 0x5; 73 rTX 4
2016-06-17_05:27:16 1466134036 0x5; 73 rTX 5
2016-06-17_05:27:16 1466134036 0x5; 73 rTX 6
2016-06-17_05:27:17 1466134037 0x5; 73 rTX 7
2016-06-17_05:27:18 1466134038 0x5; 73 rTX 8
2016-06-17_05:27:21 1466134041 0x5; 73 rTX 9
2016-06-17_05:27:26 1466134046 0x5; 73 rTX 10
2016-06-17_05:27:35 1466134055 0x5; 73 rTXERR
2016-06-17_05:29:15 1466134155 0x5; 74 rTX 0
2016-06-17_05:29:15 1466134155 0x5; 74 rTX 1
2016-06-17_05:29:15 1466134155 0x5; 74 rTX 2
2016-06-17_05:29:15 1466134155 0x5; 74 rTX 3
2016-06-17_05:29:16 1466134156 0x5; 74 rTX 4
2016-06-17_05:29:16 1466134156 0x5; 74 rTX 5
2016-06-17_05:29:16 1466134156 0x5; 74 rTX 6
2016-06-17_05:29:16 1466134156 0x6; 74 rTX 0
2016-06-17_05:29:17 1466134157 0x6; 74 rTX 1
2016-06-17_05:29:17 1466134157 0x5; 74 rTX 7
2016-06-17_05:29:19 1466134159 0x5; 74 rTX 8
2016-06-17_05:29:22 1466134162 0x5; 74 rTX 9
2016-06-17_05:29:27 1466134167 0x5; 74 rTX 10
2016-06-17_05:29:40 1466134180 0x5; 74 rTXERR
2016-06-17_05:31:15 1466134275 0x5; 75 rTX 0
2016-06-17_05:31:15 1466134275 0x5; 75 rTX 1
2016-06-17_05:31:15 1466134275 0x5; 75 rTX 2
2016-06-17_05:31:15 1466134275 0x5; 75 rTX 3
2016-06-17_05:31:16 1466134276 0x5; 75 rTX 4
2016-06-17_05:31:16 1466134276 0x5; 75 rTX 5
2016-06-17_05:31:16 1466134276 0x5; 75 rTX 6
2016-06-17_05:31:17 1466134277 0x5; 75 rTX 7
2016-06-17_05:31:19 1466134279 0x5; 75 rTX 8
2016-06-17_05:31:22 1466134282 0x5; 75 rTX 9
2016-06-17_05:31:29 1466134289 0x5; 75 rTX 10
2016-06-17_05:31:42 1466134302 0x5; 75 rTXERR
2016-06-17_05:33:15 1466134395 0x5; 76 rTX 0
2016-06-17_05:33:15 1466134395 0x5; 76 rTX 1
2016-06-17_05:33:15 1466134395 0x5; 76 rTX 2
2016-06-17_05:33:15 1466134395 0x5; 76 rTX 3
2016-06-17_05:33:16 1466134396 0x5; 76 rTX 4
2016-06-17_05:33:16 1466134396 0x5; 76 rTX 5
2016-06-17_05:33:16 1466134396 0x5; 76 rTX 6
2016-06-17_05:33:17 1466134397 0x5; 76 rTX 7
2016-06-17_05:33:18 1466134398 0x5; 76 rTX 8
2016-06-17_05:33:22 1466134402 0x5; 76 rTX 9
2016-06-17_05:33:29 1466134409 0x5; 76 rTX 10
2016-06-17_05:33:39 1466134419 0x5; 76 rTXERR
2016-06-17_05:35:15 1466134515 0x5; 77 rTX 0
2016-06-17_05:35:16 1466134516 0x5; 77 rTX 1
2016-06-17_05:35:16 1466134516 0x5; 77 rTX 2
2016-06-17_05:35:16 1466134516 0x5; 77 rTX 3
2016-06-17_05:35:16 1466134516 0x5; 77 rTX 4
2016-06-17_05:35:16 1466134516 0x5; 77 rTX 5
2016-06-17_05:35:16 1466134516 0x5; 77 rTX 6
2016-06-17_05:35:17 1466134517 0x6; 77 rTX 0
2016-06-17_05:35:17 1466134517 0x5; 77 rTX 7
2016-06-17_05:35:18 1466134518 0x5; 77 rTX 8
2016-06-17_05:35:21 1466134521 0x5; 77 rTX 9
2016-06-17_05:35:28 1466134528 0x5; 77 rTX 10
2016-06-17_05:35:36 1466134536 0x5; 77 rTXERR
2016-06-17_05:37:12 1466134632 0x2; 78 rTX 0
