2016-05-26_03:38:41 1464226721 0x9, A 27 1.91 2.15 0.83
2016-05-26_03:38:52 1464226732 0x9, 7 28 1.84 1.67-0.64
2016-05-26_03:39:21 1464226761 0x9, 2 28 1.55 1.55 0.00
2016-05-26_03:39:24 1464226764 0x9, 5 28 2.44 2.79 0.97
2016-05-26_03:39:25 1464226765 0x9, 6 28 1.64 2.40 2.69
2016-05-26_03:40:41 1464226841 0x9, A 28 1.64 2.12 1.81
2016-05-26_03:40:52 1464226852 0x9, 7 29 2.03 2.79 2.24
2016-05-26_03:41:21 1464226881 0x9, 2 29 1.60 1.91 1.29
2016-05-26_03:41:24 1464226884 0x9, 5 29 2.03 1.96-0.28
2016-05-26_03:41:25 1464226885 0x9, 6 29 1.36 1.91 2.44
2016-05-26_03:42:41 1464226961 0x9, A 29 1.36 2.03 2.87
2016-05-26_03:42:52 1464226972 0x9, 7 30 1.76 2.72 3.08
2016-05-26_03:43:21 1464227001 0x9, 2 30 1.55 2.72 3.93
2016-05-26_03:43:24 1464227004 0x9, 5 30 2.11 2.20 0.26
2016-05-26_03:43:25 1464227005 0x9, 6 30 2.03 2.16 0.40
2016-05-26_03:44:41 1464227081 0x9, A 30 1.64 2.19 2.08
2016-05-26_03:44:52 1464227092 0x9, 7 31 2.00 2.07 0.27
2016-05-26_03:45:21 1464227121 0x9, 2 31 1.64 2.31 2.45
2016-05-26_03:45:24 1464227124 0x9, 5 31 2.31 2.16-0.50
2016-05-26_03:45:25 1464227125 0x9, 6 31 1.67 2.03 1.37
2016-05-26_03:46:41 1464227201 0x9, A 31 1.48 2.95 4.90
2016-05-26_03:46:52 1464227212 0x9, 7 32 1.79 2.24 1.54
2016-05-26_03:47:21 1464227241 0x9, 2 32 1.44 2.48 3.84
2016-05-26_03:47:24 1464227244 0x9, 5 32 2.16 2.40 0.74
2016-05-26_03:47:25 1464227245 0x9, 6 32 1.79 2.40 2.03
2016-05-26_03:48:41 1464227321 0x9, A 32 1.88 2.47 1.96
2016-05-26_03:48:53 1464227333 0x9, 8 33 1.79 2.11 1.15
2016-05-26_03:49:21 1464227361 0x9, 2 33 1.76 2.31 1.95
2016-05-26_03:49:24 1464227364 0x9, 5 33 1.88 2.44 1.84
2016-05-26_03:49:25 1464227365 0x9, 6 33 2.00 2.40 1.29
2016-05-26_03:50:41 1464227441 0x9, A 33 1.88 2.00 0.43
2016-05-26_03:50:53 1464227453 0x9, 8 34 1.55 3.03 4.72
2016-05-26_03:51:21 1464227481 0x9, 2 34 1.32 2.72 5.11
2016-05-26_03:51:24 1464227484 0x9, 5 34 1.48 2.16 2.67
2016-05-26_03:51:25 1464227485 0x9, 6 34 1.64 2.07 1.68
2016-05-26_03:52:41 1464227561 0x9, A 34 1.64 2.19 2.08
2016-05-26_03:52:52 1464227572 0x9, 7 35 2.31 1.79-1.79
2016-05-26_03:53:21 1464227601 0x9, 2 35 2.00 2.00 0.00
2016-05-26_03:53:24 1464227604 0x9, 5 35 2.11 2.27 0.51
2016-05-26_03:53:25 1464227605 0x9, 6 35 2.03 2.24 0.66
2016-05-26_03:54:41 1464227681 0x9, A 35 1.32 1.72 1.87
2016-05-26_03:54:52 1464227692 0x9, 7 36 1.48 2.35 3.30
2016-05-26_03:55:21 1464227721 0x9, 2 36 2.03 1.64-1.54
2016-05-26_03:55:24 1464227724 0x9, 5 36 2.07 2.24 0.52
2016-05-26_03:55:25 1464227725 0x9, 6 36 2.11 2.27 0.51
2016-05-26_03:56:41 1464227801 0x9, A 36 1.91 2.88 2.87
2016-05-26_03:56:52 1464227812 0x9, 7 37 2.27 2.27 0.00
2016-05-26_03:57:21 1464227841 0x9, 2 37 1.39 2.52 4.16
2016-05-26_03:57:24 1464227844 0x9, 5 37 1.88 2.40 1.72
2016-05-26_03:57:25 1464227845 0x9, 6 37 1.96 2.96 2.91
2016-05-26_03:58:41 1464227921 0x9, A 37 2.11 2.44 0.99
2016-05-26_03:58:52 1464227932 0x9, 7 38 2.35 2.31-0.12
2016-05-26_03:59:21 1464227961 0x9, 2 38 1.39 1.72 1.45
2016-05-26_03:59:24 1464227964 0x9, 5 38 1.96 2.59 2.00
2016-05-26_03:59:25 1464227965 0x9, 6 38 1.84 2.52 2.22
2016-05-26_04:00:41 1464228041 0x9, A 38 1.79 2.56 2.49
2016-05-26_04:00:53 1464228053 0x9, 8 39 1.36 2.03 2.87
2016-05-26_04:01:21 1464228081 0x9, 2 39 1.48 2.24 2.93
2016-05-26_04:01:24 1464228084 0x9, 5 39 2.52 2.27-0.70
2016-05-26_04:01:25 1464228085 0x9, 6 39 2.16 2.96 2.23
2016-05-26_04:02:41 1464228161 0x9, A 39 1.84 2.71 2.76
2016-05-26_04:02:52 1464228172 0x9, 7 40 2.40 2.16-0.74
2016-05-26_04:03:21 1464228201 0x9, 2 40 1.60 2.40 2.87
2016-05-26_04:03:24 1464228204 0x9, 5 40 2.27 2.64 1.03
2016-05-26_04:03:25 1464228205 0x9, 6 40 2.07 2.16 0.26
2016-05-26_04:04:41 1464228281 0x9, A 40 2.03 1.51-2.08
2016-05-26_04:04:53 1464228293 0x9, 8 41 1.76 2.64 2.87
2016-05-26_04:05:21 1464228321 0x9, 2 41 1.36 2.31 3.78
2016-05-26_04:05:24 1464228324 0x9, 5 41 1.72 2.16 1.61
2016-05-26_04:05:25 1464228325 0x9, 6 41 2.24 2.35 0.36
2016-05-26_04:06:41 1464228401 0x9, A 41 1.64 2.31 2.45
2016-05-26_04:06:52 1464228412 0x9, 7 42 2.03 2.20 0.53
2016-05-26_04:07:21 1464228441 0x9, 2 42 2.20 2.35 0.49
2016-05-26_04:07:24 1464228444 0x9, 5 42 1.96 2.72 2.32
2016-05-26_04:07:25 1464228445 0x9, 6 42 1.79 1.79 0.00
2016-05-26_04:08:41 1464228521 0x9, A 42 1.67 2.95 4.01
2016-05-26_04:08:52 1464228532 0x9, 7 43 2.07 2.31 0.77
2016-05-26_04:09:21 1464228561 0x9, 2 43 1.60 2.64 3.54
2016-05-26_04:09:24 1464228564 0x9, 5 43 2.24 2.11-0.38
2016-05-26_04:09:25 1464228565 0x9, 6 43 2.27 2.40 0.36
2016-05-26_04:10:41 1464228641 0x9, A 43 1.55 2.03 1.89
2016-05-26_04:10:53 1464228653 0x9, 8 44 1.64 2.44 2.81
2016-05-26_04:11:21 1464228681 0x9, 2 44 1.67 2.24 2.03
2016-05-26_04:11:24 1464228684 0x9, 5 44 1.64 2.96 4.18
2016-05-26_04:11:25 1464228685 0x9, 6 44 1.67 2.31 2.28
2016-05-26_04:12:41 1464228761 0x9, A 44 1.88 2.71 2.61
2016-05-26_04:12:52 1464228772 0x9, 7 45 2.27 3.16 2.31
2016-05-26_04:13:21 1464228801 0x9, 2 45 1.36 2.64 4.69
2016-05-26_04:13:24 1464228804 0x9, 5 45 1.88 2.40 1.72
2016-05-26_04:13:25 1464228805 0x9, 6 45 1.79 2.07 1.02
2016-05-26_04:14:41 1464228881 0x9, A 45 1.76 2.07 1.18
2016-05-26_04:14:53 1464228893 0x9, 8 46 1.24 2.24 4.18
2016-05-26_04:15:21 1464228921 0x9, 2 46 1.52 2.44 3.35
2016-05-26_04:15:24 1464228924 0x9, 5 46 1.67 2.31 2.28
2016-05-26_04:15:25 1464228925 0x9, 6 46 1.96 2.40 1.43
2016-05-26_04:16:41 1464229001 0x9, A 46 1.79 2.83 3.22
2016-05-26_04:16:53 1464229013 0x9, 8 47 2.16 2.64 1.42
2016-05-26_04:17:21 1464229041 0x9, 2 47 2.03 1.88-0.57
2016-05-26_04:17:24 1464229044 0x9, 5 47 1.76 1.84 0.31
2016-05-26_04:17:25 1464229045 0x9, 6 47 1.96 2.11 0.55
2016-05-26_04:18:41 1464229121 0x9, A 47 2.11 2.27 0.51
2016-05-26_04:18:53 1464229133 0x9, 8 48 1.60 2.24 2.38
2016-05-26_04:19:21 1464229161 0x9, 2 48 1.79 3.35 4.41
2016-05-26_04:19:24 1464229164 0x9, 5 48 1.96 2.72 2.32
2016-05-26_04:19:25 1464229165 0x9, 6 48 1.67 2.96 4.01
2016-05-26_04:20:41 1464229241 0x9, A 48 2.11 2.31 0.63
2016-05-26_04:20:52 1464229252 0x9, 7 49 2.03 2.72 2.03
2016-05-26_04:21:21 1464229281 0x9, 2 49 1.44 3.03 5.29
2016-05-26_04:21:24 1464229284 0x9, 5 49 2.20 2.64 1.29
2016-05-26_04:21:25 1464229285 0x9, 6 49 2.40 2.20-0.61
2016-05-26_04:22:41 1464229361 0x9, A 49 1.72 2.88 3.65
2016-05-26_04:22:52 1464229372 0x9, 7 50 2.03 2.55 1.60
2016-05-26_04:23:21 1464229401 0x9, 2 50 1.36 2.83 5.21
2016-05-26_04:23:24 1464229404 0x9, 5 50 1.84 3.11 3.73
2016-05-26_04:23:25 1464229405 0x9, 6 50 1.52 2.27 2.87
2016-05-26_04:24:41 1464229481 0x9, A 50 2.27 2.19-0.25
2016-05-26_04:24:53 1464229493 0x9, 8 51 1.72 2.48 2.59
2016-05-26_04:25:21 1464229521 0x9, 2 51 1.76 2.52 2.54
2016-05-26_04:25:24 1464229524 0x9, 5 51 2.40 2.59 0.56
2016-05-26_04:25:25 1464229525 0x9, 6 51 2.31 2.55 0.69
2016-05-26_04:26:41 1464229601 0x9, A 51 2.11 2.71 1.76
2016-05-26_04:26:52 1464229612 0x9, 7 52 1.72 2.40 2.35
2016-05-26_04:27:21 1464229641 0x9, 2 52 1.27 2.68 5.23
2016-05-26_04:27:24 1464229644 0x9, 5 52 2.27 2.76 1.35
2016-05-26_04:27:25 1464229645 0x9, 6 52 2.52 2.59 0.22
2016-05-26_04:28:41 1464229721 0x9, A 52 2.00 2.91 2.67
2016-05-26_04:28:52 1464229732 0x9, 7 53 1.84 2.72 2.76
2016-05-26_04:29:21 1464229761 0x9, 2 53 1.39 2.88 5.10
2016-05-26_04:29:24 1464229764 0x9, 5 53 1.84 2.96 3.36
2016-05-26_04:29:25 1464229765 0x9, 6 53 1.64 2.96 4.18
2016-05-26_04:30:41 1464229841 0x9, A 53 2.40 2.83 1.19
2016-05-26_04:30:52 1464229852 0x9, 7 54 1.96 2.92 2.82
2016-05-26_04:31:21 1464229881 0x9, 2 54 1.96 2.83 2.62
2016-05-26_04:31:24 1464229884 0x9, 5 54 2.52 3.03 1.32
2016-05-26_04:31:25 1464229885 0x9, 6 54 2.07 3.11 2.87
2016-05-26_04:32:41 1464229961 0x9, A 54 2.64 3.19 1.36
2016-05-26_04:32:53 1464229973 0x9, 8 55 1.60 3.24 4.99
2016-05-26_04:33:21 1464230001 0x9, 2 55 1.52 3.20 5.27
2016-05-26_04:33:24 1464230004 0x9, 5 55 1.96 3.27 3.64
2016-05-26_04:33:25 1464230005 0x9, 6 55 2.16 3.00 2.32
2016-05-26_04:34:41 1464230081 0x9, A 55 3.00 3.27 0.63
2016-05-26_04:34:53 1464230093 0x9, 8 56 1.88 3.68 4.75
2016-05-26_04:35:21 1464230121 0x9, 2 56 1.76 3.11 4.05
2016-05-26_04:35:24 1464230124 0x9, 5 56 2.40 3.68 3.02
2016-05-26_04:35:25 1464230125 0x9, 6 56 2.20 3.40 3.08
2016-05-26_04:36:41 1464230201 0x9, A 56 2.83 3.35 1.19
2016-05-26_04:36:52 1464230212 0x9, 7 57 2.79 3.76 2.08
2016-05-26_04:37:21 1464230241 0x9, 2 57 2.11 3.72 3.98
2016-05-26_04:37:24 1464230244 0x9, 5 57 1.91 3.59 4.45
2016-05-26_04:37:25 1464230245 0x9, 6 57 2.31 3.35 2.62
2016-05-26_04:38:41 1464230321 0x9, A 57 2.96 4.07 2.27
2016-05-26_04:38:52 1464230332 0x9, 7 58 2.16 3.96 4.29
2016-05-26_04:39:21 1464230361 0x9, 2 58 2.11 3.76 4.05
2016-05-26_04:39:24 1464230364 0x9, 5 58 2.16 3.55 3.53
2016-05-26_04:39:25 1464230365 0x9, 6 58 2.27 4.36 4.59
2016-05-26_04:40:41 1464230441 0x9, A 58 3.27 4.39 2.08
2016-05-26_04:40:53 1464230453 0x9, 8 59 2.11 4.23 4.90
2016-05-26_04:41:21 1464230481 0x9, 2 59 2.48 4.44 4.12
2016-05-26_04:41:24 1464230484 0x9, 5 59 2.64 4.63 3.99
2016-05-26_04:41:25 1464230485 0x9, 6 59 1.72 4.55 6.90
2016-05-26_04:42:41 1464230561 0x9, A 59 3.96 4.95 1.59
2016-05-26_04:42:52 1464230572 0x9, 7 60 2.40 4.80 4.90
2016-05-26_04:43:21 1464230601 0x9, 2 60 2.11 5.07 6.18
2016-05-26_04:43:24 1464230604 0x9, 5 60 2.00 4.88 6.31
2016-05-26_04:43:25 1464230605 0x9, 6 60 2.07 5.00 6.21
2016-05-26_04:44:41 1464230681 0x9, A 60 5.00 5.43 0.59
2016-05-26_04:44:53 1464230693 0x9, 8 61 2.11 5.40 6.62
2016-05-26_04:45:21 1464230721 0x9, 2 61 1.96 6.15 8.10
2016-05-26_04:45:24 1464230724 0x9, 5 61 2.31 5.76 6.43
2016-05-26_04:45:25 1464230725 0x9, 6 61 2.20 5.80 6.86
2016-05-26_04:46:41 1464230801 0x9, A 61 5.40 5.76 0.45
2016-05-26_04:46:52 1464230812 0x9, 7 62 2.16 6.59 7.90
2016-05-26_04:47:21 1464230841 0x9, 2 62 1.67 6.40 9.47
2016-05-26_04:47:24 1464230844 0x9, 5 62 2.59 6.63 6.63
2016-05-26_04:47:25 1464230845 0x9, 6 62 2.44 7.00 7.46
2016-05-26_04:48:41 1464230921 0x9, A 62 6.11 7.15 1.11
2016-05-26_04:49:21 1464230961 0x9, 2 63 2.68 8.00 7.74
2016-05-26_04:49:24 1464230964 0x9, 5 63 2.79 7.76 7.21
2016-05-26_04:49:25 1464230965 0x9, 6 63 1.96 7.63 9.63
2016-05-26_04:50:41 1464231041 0x9, A 63 7.67 8.43 0.66
2016-05-26_04:50:52 1464231052 0x9, 7 64 2.55 7.80 7.88
2016-05-26_04:51:21 1464231081 0x9, 2 64 1.88 8.76 10.89
2016-05-26_04:51:24 1464231084 0x9, 5 64 2.83 8.60 7.84
2016-05-26_04:51:25 1464231085 0x9, 6 64 2.44 8.68 8.98
2016-05-26_04:52:41 1464231161 0x9, A 64 8.07 9.24 0.94
2016-05-26_04:52:52 1464231172 0x9, 7 65 2.83 10.07 8.96
2016-05-26_04:53:21 1464231201 0x9, 2 65 2.83 10.23 9.08
2016-05-26_04:53:24 1464231204 0x9, 5 65 3.00 9.88 8.43
2016-05-26_04:53:25 1464231205 0x9, 6 65 3.00 10.19 8.66
2016-05-26_04:54:41 1464231281 0x9, A 65 9.68 10.83 0.80
2016-05-26_04:54:52 1464231292 0x9, 7 66 3.31 11.07 8.53
2016-05-26_04:55:21 1464231321 0x9, 2 66 2.83 11.35 9.81
2016-05-26_04:55:24 1464231324 0x9, 5 66 3.40 12.31 9.11
2016-05-26_04:55:25 1464231325 0x9, 6 66 3.07 11.92 9.58
2016-05-26_04:56:41 1464231401 0x9, A 66 11.43 12.83 0.81
2016-05-26_04:56:52 1464231412 0x9, 7 67 3.59 13.52 9.36
2016-05-26_04:57:21 1464231441 0x9, 2 67 3.76 13.27 8.93
2016-05-26_04:57:24 1464231444 0x9, 5 67 3.52 13.68 9.61
2016-05-26_04:57:25 1464231445 0x9, 6 67 3.20 14.03 10.47
2016-05-26_04:58:41 1464231521 0x9, A 67 13.52 15.55 0.99
2016-05-26_04:58:52 1464231532 0x9, 7 68 3.88 15.43 9.77
2016-05-26_04:59:21 1464231561 0x9, 2 68 4.40 16.07 9.17
2016-05-26_04:59:24 1464231564 0x9, 5 68 3.52 16.79 11.06
2016-05-26_04:59:25 1464231565 0x9, 6 68 3.40 16.04 10.98
2016-05-26_05:00:41 1464231641 0x9, A 68 15.43 17.52 0.89
2016-05-26_05:00:52 1464231652 0x9, 7 69 3.96 17.31 10.44
2016-05-26_05:01:21 1464231681 0x9, 2 69 3.27 18.00 12.05
2016-05-26_05:01:24 1464231684 0x9, 5 69 4.32 19.15 10.54
2016-05-26_05:01:25 1464231685 0x9, 6 69 3.20 18.47 12.41
2016-05-26_05:02:41 1464231761 0x9, A 69 18.12 19.87 0.65
2016-05-26_05:02:52 1464231772 0x9, 7 70 4.23 20.84 11.27
2016-05-26_05:03:21 1464231801 0x9, 2 70 4.63 21.36 10.81
2016-05-26_05:03:24 1464231804 0x9, 5 70 4.59 20.92 10.72
2016-05-26_05:03:25 1464231805 0x9, 6 70 4.00 20.76 11.66
2016-05-26_05:04:41 1464231881 0x9, A 70 20.79 23.15 0.76
2016-05-26_05:04:53 1464231893 0x9, 8 71 5.07 23.79 10.93
2016-05-26_05:05:21 1464231921 0x9, 2 71 4.84 24.47 11.47
2016-05-26_05:05:24 1464231924 0x9, 5 71 5.00 24.52 11.25
2016-05-26_05:05:25 1464231925 0x9, 6 71 4.96 24.04 11.17
2016-05-26_05:06:41 1464232001 0x9, A 71 23.36 26.79 0.97
2016-05-26_05:06:53 1464232013 0x9, 8 72 5.63 26.31 10.90
2016-05-26_05:07:21 1464232041 0x9, 2 72 4.96 27.71 12.18
2016-05-26_05:07:24 1464232044 0x9, 5 72 5.48 28.31 11.63
2016-05-26_05:07:25 1464232045 0x9, 6 72 4.84 27.63 12.33
2016-05-26_05:08:41 1464232121 0x9, A 72 27.07 29.23 0.54
2016-05-26_05:08:53 1464232133 0x9, 8 73 6.32 30.47 11.14
2016-05-26_05:09:21 1464232161 0x9, 2 73 5.67 30.76 11.96
2016-05-26_05:09:24 1464232164 0x9, 5 73 5.76 31.23 11.97
2016-05-26_05:09:25 1464232165 0x9, 6 73 5.48 32.27 12.55
2016-05-26_05:10:41 1464232241 0x9, A 73 31.23 34.04 0.60
2016-05-26_05:10:52 1464232252 0x9, 7 74 5.76 35.08 12.79
2016-05-26_05:11:21 1464232281 0x9, 2 74 6.32 35.75 12.27
2016-05-26_05:11:24 1464232284 0x9, 5 74 6.19 35.52 12.36
2016-05-26_05:11:25 1464232285 0x9, 6 74 5.80 35.95 12.91
