2016-05-10_03:40:55 1462844455 0x3; 29 rTX 10
2016-05-10_03:40:57 1462844457 0x7; 30 rTX 10
2016-05-10_03:40:58 1462844458 0x8; 30 rTX 10
2016-05-10_03:41:05 1462844465 0x3; 29 rTXERR
2016-05-10_03:41:07 1462844467 0x8; 30 rTXERR
2016-05-10_03:41:09 1462844469 0x7; 30 rTXERR
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 0
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 1
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 2
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 3
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 4
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 5
2016-05-10_03:42:42 1462844562 0x3; 30 rTX 6
2016-05-10_03:42:43 1462844563 0x3; 30 rTX 7
2016-05-10_03:42:45 1462844565 0x3; 30 rTX 8
2016-05-10_03:42:46 1462844566 0x7; 31 rTX 0
2016-05-10_03:42:46 1462844566 0x7; 31 rTX 1
2016-05-10_03:42:46 1462844566 0x7; 31 rTX 2
2016-05-10_03:42:46 1462844566 0x7; 31 rTX 3
2016-05-10_03:42:46 1462844566 0x7; 31 rTX 4
2016-05-10_03:42:46 1462844566 0x7; 31 rTX 5
2016-05-10_03:42:47 1462844567 0x7; 31 rTX 6
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 0
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 1
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 2
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 3
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 4
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 5
2016-05-10_03:42:47 1462844567 0x8; 31 rTX 6
2016-05-10_03:42:48 1462844568 0x7; 31 rTX 7
2016-05-10_03:42:48 1462844568 0x3; 30 rTX 9
2016-05-10_03:42:48 1462844568 0x8; 31 rTX 7
2016-05-10_03:42:49 1462844569 0x7; 31 rTX 8
2016-05-10_03:42:50 1462844570 0x8; 31 rTX 8
2016-05-10_03:42:51 1462844571 0x7; 31 rTX 9
2016-05-10_03:42:52 1462844572 0x8; 31 rTX 9
2016-05-10_03:42:55 1462844575 0x3; 30 rTX 10
2016-05-10_03:42:57 1462844577 0x7; 31 rTX 10
2016-05-10_03:42:58 1462844578 0x8; 31 rTX 10
2016-05-10_03:43:04 1462844584 0x3; 30 rTXERR
2016-05-10_03:43:07 1462844587 0x7; 31 rTXERR
2016-05-10_03:43:09 1462844589 0x8; 31 rTXERR
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 0
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 1
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 2
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 3
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 4
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 5
2016-05-10_03:44:42 1462844682 0x3; 31 rTX 6
2016-05-10_03:44:43 1462844683 0x3; 31 rTX 7
2016-05-10_03:44:44 1462844684 0x3; 31 rTX 8
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 0
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 1
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 2
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 3
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 4
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 5
2016-05-10_03:44:46 1462844686 0x7; 32 rTX 6
2016-05-10_03:44:47 1462844687 0x8; 32 rTX 0
2016-05-10_03:44:47 1462844687 0x8; 32 rTX 1
2016-05-10_03:44:47 1462844687 0x8; 32 rTX 2
2016-05-10_03:44:47 1462844687 0x8; 32 rTX 3
2016-05-10_03:44:47 1462844687 0x8; 32 rTX 4
2016-05-10_03:44:47 1462844687 0x8; 32 rTX 5
2016-05-10_03:44:47 1462844687 0x7; 32 rTX 7
2016-05-10_03:44:48 1462844688 0x8; 32 rTX 6
2016-05-10_03:44:48 1462844688 0x3; 31 rTX 9
2016-05-10_03:44:48 1462844688 0x8; 32 rTX 7
2016-05-10_03:44:49 1462844689 0x7; 32 rTX 8
2016-05-10_03:44:49 1462844689 0x8; 32 rTX 8
2016-05-10_03:44:52 1462844692 0x7; 32 rTX 9
2016-05-10_03:44:52 1462844692 0x8; 32 rTX 9
2016-05-10_03:44:52 1462844692 0x3; 31 rTX 10
2016-05-10_03:44:57 1462844697 0x7; 32 rTX 10
2016-05-10_03:44:57 1462844697 0x8; 32 rTX 10
2016-05-10_03:45:03 1462844703 0x3; 31 rTXERR
2016-05-10_03:45:06 1462844706 0x8; 32 rTXERR
2016-05-10_03:45:10 1462844710 0x7; 32 rTXERR
2016-05-10_03:46:42 1462844802 0x3; 32 rTX 0
2016-05-10_03:46:42 1462844802 0x3; 32 rTX 1
2016-05-10_03:46:42 1462844802 0x3; 32 rTX 2
2016-05-10_03:46:42 1462844802 0x3; 32 rTX 3
2016-05-10_03:46:42 1462844802 0x3; 32 rTX 4
2016-05-10_03:46:42 1462844802 0x3; 32 rTX 5
2016-05-10_03:46:43 1462844803 0x3; 32 rTX 6
2016-05-10_03:46:43 1462844803 0x4; 32 rTX 0
2016-05-10_03:46:43 1462844803 0x3; 32 rTX 7
2016-05-10_03:46:45 1462844805 0x3; 32 rTX 8
2016-05-10_03:46:46 1462844806 0x7; 33 rTX 0
2016-05-10_03:46:46 1462844806 0x7; 33 rTX 1
2016-05-10_03:46:46 1462844806 0x7; 33 rTX 2
2016-05-10_03:46:46 1462844806 0x7; 33 rTX 3
2016-05-10_03:46:46 1462844806 0x7; 33 rTX 4
2016-05-10_03:46:46 1462844806 0x7; 33 rTX 5
2016-05-10_03:46:47 1462844807 0x7; 33 rTX 6
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 0
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 1
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 2
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 3
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 4
2016-05-10_03:46:47 1462844807 0x3; 32 rTX 9
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 5
2016-05-10_03:46:47 1462844807 0x8; 33 rTX 6
2016-05-10_03:46:47 1462844807 0x7; 33 rTX 7
2016-05-10_03:46:48 1462844808 0x8; 33 rTX 7
2016-05-10_03:46:49 1462844809 0x7; 33 rTX 8
2016-05-10_03:46:50 1462844810 0x8; 33 rTX 8
2016-05-10_03:46:52 1462844812 0x7; 33 rTX 9
2016-05-10_03:46:53 1462844813 0x3; 32 rTX 10
2016-05-10_03:46:53 1462844813 0x8; 33 rTX 9
2016-05-10_03:46:57 1462844817 0x8; 33 rTX 10
2016-05-10_03:46:59 1462844819 0x7; 33 rTX 10
2016-05-10_03:47:03 1462844823 0x3; 32 rTXERR
2016-05-10_03:47:12 1462844832 0x7; 33 rTXERR
2016-05-10_03:47:13 1462844833 0x8; 33 rTXERR
2016-05-10_03:48:42 1462844922 0x3; 33 rTX 0
2016-05-10_03:48:42 1462844922 0x3; 33 rTX 1
2016-05-10_03:48:42 1462844922 0x3; 33 rTX 2
2016-05-10_03:48:42 1462844922 0x3; 33 rTX 3
2016-05-10_03:48:42 1462844922 0x3; 33 rTX 4
2016-05-10_03:48:42 1462844922 0x3; 33 rTX 5
2016-05-10_03:48:43 1462844923 0x3; 33 rTX 6
2016-05-10_03:48:43 1462844923 0x3; 33 rTX 7
2016-05-10_03:48:45 1462844925 0x3; 33 rTX 8
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 0
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 1
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 2
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 3
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 4
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 5
2016-05-10_03:48:46 1462844926 0x7; 34 rTX 6
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 0
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 1
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 2
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 3
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 4
2016-05-10_03:48:47 1462844927 0x7; 34 rTX 7
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 5
2016-05-10_03:48:47 1462844927 0x8; 34 rTX 6
2016-05-10_03:48:48 1462844928 0x3; 33 rTX 9
2016-05-10_03:48:48 1462844928 0x8; 34 rTX 7
2016-05-10_03:48:48 1462844928 0x7; 34 rTX 8
2016-05-10_03:48:50 1462844930 0x8; 34 rTX 8
2016-05-10_03:48:52 1462844932 0x7; 34 rTX 9
2016-05-10_03:48:53 1462844933 0x8; 34 rTX 9
2016-05-10_03:48:54 1462844934 0x3; 33 rTX 10
2016-05-10_03:48:57 1462844937 0x7; 34 rTX 10
2016-05-10_03:48:59 1462844939 0x8; 34 rTX 10
2016-05-10_03:49:03 1462844943 0x3; 33 rTXERR
2016-05-10_03:49:07 1462844947 0x7; 34 rTXERR
2016-05-10_03:49:13 1462844953 0x8; 34 rTXERR
2016-05-10_03:50:42 1462845042 0x3; 34 rTX 0
2016-05-10_03:50:42 1462845042 0x3; 34 rTX 1
2016-05-10_03:50:42 1462845042 0x3; 34 rTX 2
2016-05-10_03:50:42 1462845042 0x3; 34 rTX 3
2016-05-10_03:50:42 1462845042 0x3; 34 rTX 4
2016-05-10_03:50:42 1462845042 0x3; 34 rTX 5
2016-05-10_03:50:43 1462845043 0x3; 34 rTX 6
2016-05-10_03:50:43 1462845043 0x3; 34 rTX 7
2016-05-10_03:50:45 1462845045 0x3; 34 rTX 8
2016-05-10_03:50:46 1462845046 0x7; 35 rTX 0
2016-05-10_03:50:46 1462845046 0x7; 35 rTX 1
2016-05-10_03:50:46 1462845046 0x7; 35 rTX 2
2016-05-10_03:50:46 1462845046 0x7; 35 rTX 3
2016-05-10_03:50:46 1462845046 0x7; 35 rTX 4
2016-05-10_03:50:46 1462845046 0x7; 35 rTX 5
2016-05-10_03:50:47 1462845047 0x7; 35 rTX 6
2016-05-10_03:50:47 1462845047 0x8; 35 rTX 0
2016-05-10_03:50:47 1462845047 0x8; 35 rTX 1
2016-05-10_03:50:47 1462845047 0x8; 35 rTX 2
2016-05-10_03:50:47 1462845047 0x8; 35 rTX 3
2016-05-10_03:50:47 1462845047 0x8; 35 rTX 4
2016-05-10_03:50:47 1462845047 0x8; 35 rTX 5
2016-05-10_03:50:47 1462845047 0x7; 35 rTX 7
2016-05-10_03:50:48 1462845048 0x8; 35 rTX 6
2016-05-10_03:50:48 1462845048 0x3; 34 rTX 9
2016-05-10_03:50:48 1462845048 0x7; 35 rTX 8
2016-05-10_03:50:48 1462845048 0x8; 35 rTX 7
2016-05-10_03:50:49 1462845049 0x8; 35 rTX 8
2016-05-10_03:50:51 1462845051 0x7; 35 rTX 9
2016-05-10_03:50:53 1462845053 0x8; 35 rTX 9
2016-05-10_03:50:56 1462845056 0x3; 34 rTX 10
2016-05-10_03:50:58 1462845058 0x7; 35 rTX 10
2016-05-10_03:50:59 1462845059 0x8; 35 rTX 10
2016-05-10_03:51:05 1462845065 0x3; 34 rTXERR
2016-05-10_03:51:09 1462845069 0x7; 35 rTXERR
2016-05-10_03:51:13 1462845073 0x8; 35 rTXERR
2016-05-10_03:52:42 1462845162 0x3; 35 rTX 0
2016-05-10_03:52:42 1462845162 0x3; 35 rTX 1
2016-05-10_03:52:42 1462845162 0x3; 35 rTX 2
2016-05-10_03:52:42 1462845162 0x3; 35 rTX 3
2016-05-10_03:52:42 1462845162 0x3; 35 rTX 4
2016-05-10_03:52:42 1462845162 0x3; 35 rTX 5
2016-05-10_03:52:43 1462845163 0x3; 35 rTX 6
2016-05-10_03:52:43 1462845163 0x3; 35 rTX 7
2016-05-10_03:52:45 1462845165 0x3; 35 rTX 8
2016-05-10_03:52:46 1462845166 0x7; 36 rTX 0
2016-05-10_03:52:46 1462845166 0x7; 36 rTX 1
2016-05-10_03:52:46 1462845166 0x7; 36 rTX 2
2016-05-10_03:52:46 1462845166 0x7; 36 rTX 3
2016-05-10_03:52:46 1462845166 0x7; 36 rTX 4
2016-05-10_03:52:46 1462845166 0x7; 36 rTX 5
2016-05-10_03:52:47 1462845167 0x7; 36 rTX 6
2016-05-10_03:52:47 1462845167 0x8; 36 rTX 0
2016-05-10_03:52:47 1462845167 0x8; 36 rTX 1
2016-05-10_03:52:47 1462845167 0x8; 36 rTX 2
2016-05-10_03:52:47 1462845167 0x8; 36 rTX 3
2016-05-10_03:52:47 1462845167 0x3; 35 rTX 9
2016-05-10_03:52:47 1462845167 0x8; 36 rTX 4
2016-05-10_03:52:47 1462845167 0x8; 36 rTX 5
2016-05-10_03:52:47 1462845167 0x7; 36 rTX 7
2016-05-10_03:52:48 1462845168 0x8; 36 rTX 6
2016-05-10_03:52:48 1462845168 0x8; 36 rTX 7
2016-05-10_03:52:49 1462845169 0x7; 36 rTX 8
2016-05-10_03:52:50 1462845170 0x8; 36 rTX 8
2016-05-10_03:52:51 1462845171 0x7; 36 rTX 9
2016-05-10_03:52:53 1462845173 0x8; 36 rTX 9
2016-05-10_03:52:54 1462845174 0x3; 35 rTX 10
2016-05-10_03:52:57 1462845177 0x7; 36 rTX 10
2016-05-10_03:52:59 1462845179 0x8; 36 rTX 10
2016-05-10_03:53:08 1462845188 0x3; 35 rTXERR
2016-05-10_03:53:10 1462845190 0x7; 36 rTXERR
2016-05-10_03:53:13 1462845193 0x8; 36 rTXERR
2016-05-10_03:54:42 1462845282 0x3; 36 rTX 0
2016-05-10_03:54:42 1462845282 0x3; 36 rTX 1
2016-05-10_03:54:42 1462845282 0x3; 36 rTX 2
2016-05-10_03:54:42 1462845282 0x3; 36 rTX 3
2016-05-10_03:54:42 1462845282 0x3; 36 rTX 4
2016-05-10_03:54:42 1462845282 0x3; 36 rTX 5
2016-05-10_03:54:43 1462845283 0x3; 36 rTX 6
2016-05-10_03:54:43 1462845283 0x4; 36 rTX 0
2016-05-10_03:54:43 1462845283 0x4; 36 rTX 1
2016-05-10_03:54:43 1462845283 0x4; 36 rTX 2
2016-05-10_03:54:43 1462845283 0x4; 36 rTX 3
2016-05-10_03:54:43 1462845283 0x4; 36 rTX 4
2016-05-10_03:54:43 1462845283 0x3; 36 rTX 7
2016-05-10_03:54:44 1462845284 0x3; 36 rTX 8
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 0
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 1
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 2
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 3
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 4
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 5
2016-05-10_03:54:46 1462845286 0x7; 37 rTX 6
2016-05-10_03:54:47 1462845287 0x8; 37 rTX 0
2016-05-10_03:54:47 1462845287 0x8; 37 rTX 1
2016-05-10_03:54:47 1462845287 0x8; 37 rTX 2
2016-05-10_03:54:47 1462845287 0x8; 37 rTX 3
2016-05-10_03:54:47 1462845287 0x8; 37 rTX 4
2016-05-10_03:54:47 1462845287 0x8; 37 rTX 5
