2016-04-25_02:55:21 1461545721 0x9, 2 6 1.55 2.16 2.30
2016-04-25_02:55:24 1461545724 0x9, 5 6 1.96 2.35 1.31
2016-04-25_02:55:25 1461545725 0x9, 6 6 2.07 2.48 1.24
2016-04-25_02:56:48 1461545808 0x9, A 6 2.07 2.27 0.65
2016-04-25_02:57:20 1461545840 0x9, 1 7 2.03 1.96-0.28
2016-04-25_02:57:21 1461545841 0x9, 2 7 1.52 2.24 2.74
2016-04-25_02:57:24 1461545844 0x9, 5 7 2.20 2.16-0.12
2016-04-25_02:57:25 1461545845 0x9, 6 7 1.76 2.03 1.04
2016-04-25_02:58:48 1461545928 0x9, A 7 2.59 2.31-0.80
2016-04-25_02:59:20 1461545960 0x9, 1 8 1.76 2.20 1.58
2016-04-25_02:59:21 1461545961 0x9, 2 8 1.24 2.20 4.05
2016-04-25_02:59:24 1461545964 0x9, 5 8 2.00 2.03 0.14
2016-04-25_02:59:25 1461545965 0x9, 6 8 1.72 2.31 2.11
2016-04-25_03:00:48 1461546048 0x9, A 8 2.11 2.03-0.27
2016-04-25_03:01:20 1461546080 0x9, 1 9 2.07 2.27 0.65
2016-04-25_03:01:21 1461546081 0x9, 2 9 1.15 2.40 5.14
2016-04-25_03:01:24 1461546084 0x9, 5 9 2.07 2.20 0.39
2016-04-25_03:01:25 1461546085 0x9, 6 9 1.96 2.24 0.94
2016-04-25_03:02:48 1461546168 0x9, A 9 2.16 2.35 0.62
2016-04-25_03:03:20 1461546200 0x9, 1 10 1.72 2.27 1.99
2016-04-25_03:03:21 1461546201 0x9, 2 10 1.52 2.88 4.52
2016-04-25_03:03:24 1461546204 0x9, 5 10 2.07 2.55 1.47
2016-04-25_03:03:25 1461546205 0x9, 6 10 1.76 2.20 1.58
2016-04-25_03:04:48 1461546288 0x9, A 10 1.52 2.03 2.08
2016-04-25_03:05:20 1461546320 0x9, 1 11 1.76 2.72 3.08
2016-04-25_03:05:21 1461546321 0x9, 2 11 1.67 2.40 2.52
2016-04-25_03:05:24 1461546324 0x9, 5 11 2.24 1.88-1.24
2016-04-25_03:05:25 1461546325 0x9, 6 11 1.64 2.64 3.37
2016-04-25_03:06:48 1461546408 0x9, A 11 2.00 2.23 0.80
2016-04-25_03:07:20 1461546440 0x9, 1 12 1.52 2.31 2.99
2016-04-25_03:07:21 1461546441 0x9, 2 12 1.67 2.52 2.87
2016-04-25_03:07:24 1461546444 0x9, 5 12 2.03 2.24 0.66
2016-04-25_03:07:25 1461546445 0x9, 6 12 1.79 2.64 2.71
2016-04-25_03:08:48 1461546528 0x9, A 12 2.07 2.31 0.77
2016-04-25_03:09:20 1461546560 0x9, 1 13 1.91 2.07 0.56
2016-04-25_03:09:21 1461546561 0x9, 2 13 0.92 2.11 5.91
2016-04-25_03:09:24 1461546564 0x9, 5 13 1.88 3.16 3.67
2016-04-25_03:09:25 1461546565 0x9, 6 13 1.60 2.31 2.63
2016-04-25_03:10:48 1461546648 0x9, A 13 2.11 2.56 1.33
2016-04-25_03:11:20 1461546680 0x9, 1 14 1.84 2.68 2.66
2016-04-25_03:11:21 1461546681 0x9, 2 14 1.91 2.11 0.70
2016-04-25_03:11:24 1461546684 0x9, 5 14 1.96 2.88 2.72
2016-04-25_03:11:25 1461546685 0x9, 6 14 2.35 2.07-0.89
2016-04-25_03:12:48 1461546768 0x9, A 14 1.84 3.07 3.64
2016-04-25_03:13:20 1461546800 0x9, 1 15 1.67 1.91 0.94
2016-04-25_03:13:21 1461546801 0x9, 2 15 1.36 2.11 3.14
2016-04-25_03:13:24 1461546804 0x9, 5 15 2.07 1.88-0.71
2016-04-25_03:13:25 1461546805 0x9, 6 15 2.27 2.48 0.59
2016-04-25_03:14:48 1461546888 0x9, A 15 1.96 2.15 0.68
2016-04-25_03:15:20 1461546920 0x9, 1 16 1.91 2.35 1.46
2016-04-25_03:15:21 1461546921 0x9, 2 16 1.72 2.40 2.35
2016-04-25_03:15:24 1461546924 0x9, 5 16 1.76 2.27 1.83
2016-04-25_03:15:25 1461546925 0x9, 6 16 1.55 2.20 2.43
2016-04-25_03:16:48 1461547008 0x9, A 16 2.00 2.12 0.41
2016-04-25_03:17:20 1461547040 0x9, 1 17 1.60 2.11 1.99
2016-04-25_03:17:21 1461547041 0x9, 2 17 1.27 2.72 5.33
2016-04-25_03:17:24 1461547044 0x9, 5 17 1.96 2.64 2.10
2016-04-25_03:17:25 1461547045 0x9, 6 17 2.52 2.55 0.11
2016-04-25_03:18:48 1461547128 0x9, A 17 2.03 2.39 1.15
2016-04-25_03:19:20 1461547160 0x9, 1 18 2.44 2.31-0.35
2016-04-25_03:19:21 1461547161 0x9, 2 18 1.76 2.48 2.42
2016-04-25_03:19:24 1461547164 0x9, 5 18 1.91 2.20 0.96
2016-04-25_03:19:25 1461547165 0x9, 6 18 1.72 2.68 3.14
2016-04-25_03:20:49 1461547249 0x9, A 18 1.79 2.07 1.02
2016-04-25_03:22:49 1461547369 0x9, A 19 1.55 2.39 3.05
2016-04-25_03:24:49 1461547489 0x9, A 20 2.03 2.12 0.27
2016-04-25_03:25:40 1461547540 0x9, 1 22 1.36 2.03 2.87
2016-04-25_03:25:41 1461547541 0x9, 2 22 1.84 2.20 1.26
2016-04-25_03:25:44 1461547544 0x9, 5 22 2.27 1.91-1.21
2016-04-25_03:25:45 1461547545 0x9, 6 22 2.27 2.11-0.51
2016-04-25_03:26:49 1461547609 0x9, A 21 1.79 2.03 0.88
2016-04-25_03:27:40 1461547660 0x9, 1 23 2.24 2.31 0.24
2016-04-25_03:27:41 1461547661 0x9, 2 23 1.52 2.35 3.11
2016-04-25_03:27:44 1461547664 0x9, 5 23 2.03 2.20 0.53
2016-04-25_03:27:45 1461547665 0x9, 6 23 1.27 2.20 3.83
2016-04-25_03:28:49 1461547729 0x9, A 22 1.88 2.03 0.57
2016-04-25_03:29:40 1461547780 0x9, 1 24 2.16 2.92 2.13
2016-04-25_03:29:41 1461547781 0x9, 2 24 1.48 2.27 3.05
2016-04-25_03:29:44 1461547784 0x9, 5 24 2.31 2.20-0.37
2016-04-25_03:29:45 1461547785 0x9, 6 24 2.40 2.59 0.56
2016-04-25_03:30:49 1461547849 0x9, A 23 1.60 2.23 2.38
2016-04-25_03:31:40 1461547900 0x9, 1 25 1.76 2.27 1.83
2016-04-25_03:31:41 1461547901 0x9, 2 25 1.15 2.59 5.71
2016-04-25_03:31:44 1461547904 0x9, 5 25 1.72 2.83 3.55
2016-04-25_03:31:45 1461547905 0x9, 6 25 2.11 2.31 0.63
2016-04-25_03:32:49 1461547969 0x9, A 24 2.11 2.15 0.13
2016-04-25_03:33:40 1461548020 0x9, 1 26 1.52 2.20 2.61
2016-04-25_03:33:41 1461548021 0x9, 2 26 1.76 1.84 0.31
2016-04-25_03:33:44 1461548024 0x9, 5 26 2.00 2.20 0.67
2016-04-25_03:33:45 1461548025 0x9, 6 26 1.60 2.03 1.72
2016-04-25_03:34:49 1461548089 0x9, A 25 1.76 2.23 1.70
2016-04-25_03:35:40 1461548140 0x9, 1 27 1.48 2.68 4.20
2016-04-25_03:35:41 1461548141 0x9, 2 27 1.48 2.16 2.67
2016-04-25_03:35:44 1461548144 0x9, 5 27 1.88 2.40 1.72
2016-04-25_03:35:45 1461548145 0x9, 6 27 2.03 2.64 1.82
2016-04-25_03:36:49 1461548209 0x9, A 26 1.96 2.44 1.55
2016-04-25_03:37:40 1461548260 0x9, 1 28 1.79 2.59 2.60
2016-04-25_03:37:41 1461548261 0x9, 2 28 1.48 2.07 2.40
2016-04-25_03:37:44 1461548264 0x9, 5 28 2.00 2.16 0.54
2016-04-25_03:37:45 1461548265 0x9, 6 28 2.83 2.68-0.41
2016-04-25_03:38:49 1461548329 0x9, A 27 2.03 2.47 1.38
2016-04-25_03:39:40 1461548380 0x9, 1 29 1.39 2.00 2.52
2016-04-25_03:39:41 1461548381 0x9, 2 29 1.88 2.31 1.48
2016-04-25_03:39:44 1461548384 0x9, 5 29 2.11 2.68 1.65
2016-04-25_03:39:45 1461548385 0x9, 6 29 2.20 2.55 1.07
2016-04-25_03:40:49 1461548449 0x9, A 28 2.03 2.35 1.03
2016-04-25_03:42:49 1461548569 0x9, A 29 1.52 2.44 3.35
