2016-04-19_20:00:12 1461088812 0x2; 528 rTX 8
2016-04-19_20:00:16 1461088816 0x2; 528 rTX 9
2016-04-19_20:00:24 1461088824 0x2; 528 rTX 10
2016-04-19_20:00:36 1461088836 0x2; 528 rTXERR
2016-04-19_20:02:11 1461088931 0x1; 529 rTX 0
2016-04-19_20:02:11 1461088931 0x1; 529 rTX 1
2016-04-19_20:02:11 1461088931 0x1; 529 rTX 2
2016-04-19_20:02:11 1461088931 0x1; 529 rTX 3
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 0
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 1
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 2
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 3
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 4
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 5
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 6
2016-04-19_20:02:11 1461088931 0x2; 529 rTX 7
2016-04-19_20:02:13 1461088933 0x2; 529 rTX 8
2016-04-19_20:02:16 1461088936 0x2; 529 rTX 9
2016-04-19_20:02:23 1461088943 0x2; 529 rTX 10
2016-04-19_20:02:33 1461088953 0x2; 529 rTXERR
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 0
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 1
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 2
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 3
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 4
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 5
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 6
2016-04-19_20:04:11 1461089051 0x2; 530 rTX 7
2016-04-19_20:04:13 1461089053 0x2; 530 rTX 8
2016-04-19_20:04:17 1461089057 0x2; 530 rTX 9
2016-04-19_20:04:24 1461089064 0x2; 530 rTX 10
2016-04-19_20:04:38 1461089078 0x2; 530 rTXERR
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 0
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 1
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 2
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 3
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 4
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 5
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 6
2016-04-19_20:06:11 1461089171 0x2; 531 rTX 7
2016-04-19_20:06:14 1461089174 0x6; 531 rTX 0
2016-04-19_20:27:11 1461090431 0x1; 541 rTX 3
2016-04-19_20:27:11 1461090431 0x1; 541 rTX 4
2016-04-19_20:27:11 1461090431 0x1; 541 rTX 5
2016-04-19_20:27:11 1461090431 0x1; 541 rTX 6
2016-04-19_20:27:11 1461090431 0x1; 541 rTX 7
2016-04-19_20:28:11 1461090491 0x1; 542 rTX 0
2016-04-19_20:28:11 1461090491 0x1; 542 rTX 1
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 0
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 1
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 2
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 3
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 4
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 5
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 6
2016-04-19_20:28:11 1461090491 0x2; 542 rTX 7
2016-04-19_20:28:12 1461090492 0x2; 542 rTX 8
2016-04-19_20:28:15 1461090495 0x2; 542 rTX 9
2016-04-19_21:46:11 1461095171 0x2; 583 rTX 0
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 1
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 2
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 3
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 4
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 5
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 6
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 7
2016-04-19_21:46:12 1461095172 0x2; 583 rTX 8
2016-04-19_21:46:15 1461095175 0x2; 583 rTX 9
2016-04-19_21:46:22 1461095182 0x2; 583 rTX 10
2016-04-19_21:46:37 1461095197 0x2; 583 rTXERR
2016-04-19_21:48:10 1461095290 0x1; 584 rTX 00x1; 584 rTX 5
2016-04-19_21:48:10 1461095290 0x1; 584 rTX 6
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 0
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 1
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 2
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 3
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 4
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 5
2016-04-19_21:48:11 1461095291 0x1; 584 rTX 7
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 6
2016-04-19_21:48:11 1461095291 0x2; 584 rTX 7
2016-04-19_21:48:12 1461095292 0x2; 584 rTX 8
2016-04-19_21:48:15 1461095295 0x2; 584 rTX 9
2016-04-19_21:48:20 1461095300 0x2; 584 rTX 10
2016-04-19_21:48:30 1461095310 0x2; 584 rTXERR
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 0
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 1
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 2
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 3
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 4
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 5
2016-04-19_22:18:17 1461097097 0x1; 1 rTX 6
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 0
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 1
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 2
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 3
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 4
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 5
2016-04-19_22:18:18 1461097098 0x1; 1 rTX 7
2016-04-19_22:18:18 1461097098 0x2; 1 rTX 6
2016-04-19_22:18:19 1461097099 0x2; 1 rTX 7
2016-04-19_22:18:20 1461097100 0x1; 1 rTX 8
2016-04-19_22:18:21 1461097101 0x2; 1 rTX 8
2016-04-19_22:18:22 1461097102 0x1; 1 rTX 9
2016-04-19_22:18:24 1461097104 0x2; 1 rTX 9
2016-04-19_22:18:28 1461097108 0x1; 1 rTX 10
2016-04-19_22:18:29 1461097109 0x2; 1 rTX 10
2016-04-19_22:18:37 1461097117 0x2; 1 rTXERR
2016-04-19_22:18:41 1461097121 0x1; 1 rTXERR
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 0
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 1
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 2
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 3
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 4
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 5
2016-04-19_22:20:17 1461097217 0x1; 601 rTX 6
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 0
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 1
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 2
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 3
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 4
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 5
2016-04-19_22:20:18 1461097218 0x1; 601 rTX 7
2016-04-19_22:20:18 1461097218 0x2; 601 rTX 6
2016-04-19_22:20:19 1461097219 0x2; 601 rTX 7
2016-04-19_22:20:20 1461097220 0x1; 601 rTX 8
2016-04-19_22:20:21 1461097221 0x2; 601 rTX 8
2016-04-19_22:20:23 1461097223 0x1; 601 rTX 9
2016-04-19_22:20:24 1461097224 0x2; 601 rTX 9
2016-04-19_22:20:28 1461097228 0x2; 601 rTX 10
2016-04-19_22:20:30 1461097230 0x1; 601 rTX 10
2016-04-19_22:20:41 1461097241 0x1; 601 rTXERR
2016-04-19_22:20:44 1461097244 0x2; 601 rTXERR
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 0
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 1
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 2
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 3
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 4
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 5
2016-04-19_23:20:15 1461100815 0x1; 630 rTX 6
2016-04-19_23:20:16 1461100816 0x1; 630 rTX 7
2016-04-19_23:20:17 1461100817 0x1; 630 rTX 8
2016-04-19_23:20:20 1461100820 0x1; 630 rTX 9
2016-04-19_23:20:23 1461100823 0x6; 619 rTX 00x6 630;2,2,2,1,2,0,1,0,1,2,2,2,2,2,1,2,2,1,2,0,5,1,2,1,2-1367,47c-1:f3/6b;1:f2/6c;0:0/0;0:0/0;0:4/68;0:0/0;0:0/0;0:0/0;0:e0/6a;0:0/0
2016-04-19_23:20:25 1461100825 0x1; 630 rTX 10
2016-04-19_23:20:34 1461100834 0x1; 630 rTXERR
2016-04-19_23:22:14 1461100934 0x1; 631 rTX 0
2016-04-19_23:22:14 1461100934 0x1; 631 rTX 1
2016-04-19_23:22:14 1461100934 0x1; 631 rTX 2
2016-04-19_23:22:14 1461100934 0x1; 631 rTX 3
2016-04-19_23:22:15 1461100935 0x1; 631 rTX 4
2016-04-19_23:22:15 1461100935 0x1; 631 rTX 5
2016-04-19_23:22:15 1461100935 0x1; 631 rTX 6
2016-04-19_23:22:16 1461100936 0x1; 631 rTX 7
2016-04-19_23:22:17 1461100937 0x1; 631 rTX 8
2016-04-19_23:22:21 1461100941 0x1; 631 rTX 9
2016-04-19_23:22:27 1461100947 0x1; 631 rTX 10
2016-04-19_23:22:40 1461100960 0x1; 631 rTXERR
