2016-05-04_14:08:54 1462363734 0x8; 340 rTX 5
2016-05-04_14:08:54 1462363734 0x7; 340 rTX 7
2016-05-04_14:08:54 1462363734 0x8; 340 rTX 6
2016-05-04_14:08:55 1462363735 0x8; 340 rTX 7
2016-05-04_14:08:55 1462363735 0x3; 340 rTX 9
2016-05-04_14:08:56 1462363736 0x7; 340 rTX 8
2016-05-04_14:08:56 1462363736 0x8; 340 rTX 8
2016-05-04_14:08:57 1462363737 0x4; 340 rTX 9
2016-05-04_14:08:58 1462363738 0x7; 340 rTX 9
2016-05-04_14:09:00 1462363740 0x8; 340 rTX 9
2016-05-04_14:09:02 1462363742 0x4; 340 rTX 10
2016-05-04_14:09:02 1462363742 0x3; 340 rTX 10
2016-05-04_14:09:04 1462363744 0x7; 340 rTX 10
2016-05-04_14:09:05 1462363745 0x8; 340 rTX 10
2016-05-04_14:09:10 1462363750 0x3; 340 rTXERR
2016-05-04_14:09:17 1462363757 0x4; 340 rTXERR
2016-05-04_14:09:17 1462363757 0x7; 340 rTXERR
2016-05-04_14:09:19 1462363759 0x8; 340 rTXERR
2016-05-04_14:10:49 1462363849 0x3; 341 rTX 0
2016-05-04_14:10:49 1462363849 0x3; 341 rTX 1
2016-05-04_14:10:49 1462363849 0x3; 341 rTX 2
2016-05-04_14:10:49 1462363849 0x3; 341 rTX 3
2016-05-04_14:10:49 1462363849 0x3; 341 rTX 4
2016-05-04_14:10:49 1462363849 0x3; 341 rTX 5
2016-05-04_14:10:50 1462363850 0x3; 341 rTX 6
2016-05-04_14:10:51 1462363851 0x3; 341 rTX 7
2016-05-04_14:10:52 1462363852 0x3; 341 rTX 8
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 0
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 1
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 2
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 3
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 4
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 5
2016-05-04_14:10:53 1462363853 0x7; 341 rTX 6
2016-05-04_14:10:54 1462363854 0x8; 341 rTX 0
2016-05-04_14:10:54 1462363854 0x8; 341 rTX 1
2016-05-04_14:10:54 1462363854 0x8; 341 rTX 2
2016-05-04_14:10:54 1462363854 0x8; 341 rTX 3
2016-05-04_14:10:54 1462363854 0x8; 341 rTX 4
2016-05-04_14:10:54 1462363854 0x8; 341 rTX 5
2016-05-04_14:10:54 1462363854 0x7; 341 rTX 7
2016-05-04_14:10:55 1462363855 0x8; 341 rTX 6
2016-05-04_14:10:55 1462363855 0x8; 341 rTX 7
2016-05-04_14:10:56 1462363856 0x3; 341 rTX 9
2016-05-04_14:10:56 1462363856 0x7; 341 rTX 8
2016-05-04_14:10:57 1462363857 0x8; 341 rTX 8
2016-05-04_14:10:59 1462363859 0x7; 341 rTX 9
2016-05-04_14:10:59 1462363859 0x8; 341 rTX 9
2016-05-04_14:11:01 1462363861 0x3; 341 rTX 10
2016-05-04_14:11:03 1462363863 0x7; 341 rTX 10
2016-05-04_14:11:05 1462363865 0x8; 341 rTX 10
2016-05-04_14:11:14 1462363874 0x7; 341 rTXERR
2016-05-04_14:11:16 1462363876 0x3; 341 rTXERR
2016-05-04_14:11:17 1462363877 0x8; 341 rTXERR
2016-05-04_14:12:49 1462363969 0x3; 342 rTX 0
2016-05-04_14:12:49 1462363969 0x3; 342 rTX 1
2016-05-04_14:12:49 1462363969 0x3; 342 rTX 2
2016-05-04_14:12:49 1462363969 0x3; 342 rTX 3
2016-05-04_14:12:49 1462363969 0x3; 342 rTX 4
2016-05-04_14:12:49 1462363969 0x3; 342 rTX 5
2016-05-04_14:12:50 1462363970 0x3; 342 rTX 6
2016-05-04_14:12:50 1462363970 0x4; 342 rTX 0
2016-05-04_14:12:50 1462363970 0x4; 342 rTX 1
2016-05-04_14:12:50 1462363970 0x4; 342 rTX 2
2016-05-04_14:12:50 1462363970 0x4; 342 rTX 3
2016-05-04_14:12:50 1462363970 0x4; 342 rTX 4
2016-05-04_14:12:50 1462363970 0x4; 342 rTX 5
2016-05-04_14:12:50 1462363970 0x3; 342 rTX 7
2016-05-04_14:12:51 1462363971 0x4; 342 rTX 6
2016-05-04_14:12:52 1462363972 0x4; 342 rTX 7
2016-05-04_14:12:52 1462363972 0x3; 342 rTX 8
2016-05-04_14:12:53 1462363973 0x7; 342 rTX 0
2016-05-04_14:12:53 1462363973 0x7; 342 rTX 1
2016-05-04_14:12:53 1462363973 0x7; 342 rTX 2
2016-05-04_14:12:53 1462363973 0x7; 342 rTX 3
2016-05-04_14:12:53 1462363973 0x7; 342 rTX 4
2016-05-04_14:12:53 1462363973 0x7; 342 rTX 5
2016-05-04_14:12:54 1462363974 0x7; 342 rTX 6
2016-05-04_14:12:54 1462363974 0x4; 342 rTX 8
2016-05-04_14:12:54 1462363974 0x8; 342 rTX 0
2016-05-04_14:12:54 1462363974 0x8; 342 rTX 1
2016-05-04_14:12:54 1462363974 0x8; 342 rTX 2
2016-05-04_14:12:54 1462363974 0x3; 342 rTX 9
2016-05-04_14:12:54 1462363974 0x8; 342 rTX 3
2016-05-04_14:12:54 1462363974 0x8; 342 rTX 4
2016-05-04_14:12:54 1462363974 0x8; 342 rTX 5
2016-05-04_14:12:54 1462363974 0x7; 342 rTX 7
2016-05-04_14:12:55 1462363975 0x8; 342 rTX 6
2016-05-04_14:12:55 1462363975 0x7; 342 rTX 8
2016-05-04_14:12:55 1462363975 0x8; 342 rTX 7
2016-05-04_14:12:57 1462363977 0x8; 342 rTX 8
2016-05-04_14:12:57 1462363977 0x4; 342 rTX 9
2016-05-04_14:12:58 1462363978 0x7; 342 rTX 9
2016-05-04_14:12:58 1462363978 0x3; 342 rTX 10
2016-05-04_14:13:00 1462363980 0x8; 342 rTX 9
2016-05-04_14:13:05 1462363985 0x7; 342 rTX 10
2016-05-04_14:13:07 1462363987 0x8; 342 rTX 10
2016-05-04_14:13:10 1462363990 0x3; 342 rTXERR
2016-05-04_14:13:16 1462363996 0x8; 342 rTXERR
2016-05-04_14:13:19 1462363999 0x7; 342 rTXERR
2016-05-04_14:14:49 1462364089 0x3; 343 rTX 0
2016-05-04_14:14:49 1462364089 0x3; 343 rTX 1
2016-05-04_14:14:49 1462364089 0x3; 343 rTX 2
2016-05-04_14:14:49 1462364089 0x3; 343 rTX 3
2016-05-04_14:14:49 1462364089 0x3; 343 rTX 4
2016-05-04_14:14:49 1462364089 0x3; 343 rTX 5
2016-05-04_14:14:50 1462364090 0x3; 343 rTX 6
2016-05-04_14:14:50 1462364090 0x4; 343 rTX 0
2016-05-04_14:14:50 1462364090 0x4; 343 rTX 1
2016-05-04_14:14:50 1462364090 0x4; 343 rTX 2
2016-05-04_14:14:50 1462364090 0x4; 343 rTX 3
2016-05-04_14:14:50 1462364090 0x4; 343 rTX 4
2016-05-04_14:14:50 1462364090 0x3; 343 rTX 7
2016-05-04_14:14:52 1462364092 0x3; 343 rTX 8
2016-05-04_14:14:53 1462364093 0x7; 343 rTX 0
2016-05-04_14:14:53 1462364093 0x7; 343 rTX 1
2016-05-04_14:14:53 1462364093 0x7; 343 rTX 2
2016-05-04_14:14:53 1462364093 0x7; 343 rTX 3
2016-05-04_14:14:53 1462364093 0x7; 343 rTX 4
2016-05-04_14:14:53 1462364093 0x7; 343 rTX 5
2016-05-04_14:14:54 1462364094 0x8; 343 rTX 0
2016-05-04_14:14:54 1462364094 0x8; 343 rTX 1
2016-05-04_14:14:54 1462364094 0x8; 343 rTX 2
2016-05-04_14:14:54 1462364094 0x7; 343 rTX 6
2016-05-04_14:14:54 1462364094 0x8; 343 rTX 3
2016-05-04_14:14:54 1462364094 0x8; 343 rTX 4
2016-05-04_14:14:54 1462364094 0x8; 343 rTX 5
2016-05-04_14:14:55 1462364095 0x8; 343 rTX 6
2016-05-04_14:14:55 1462364095 0x7; 343 rTX 7
2016-05-04_14:14:55 1462364095 0x8; 343 rTX 7
2016-05-04_14:14:56 1462364096 0x3; 343 rTX 9
2016-05-04_14:14:56 1462364096 0x8; 343 rTX 8
2016-05-04_14:14:56 1462364096 0x7; 343 rTX 8
2016-05-04_14:14:59 1462364099 0x8; 343 rTX 9
2016-05-04_14:14:59 1462364099 0x7; 343 rTX 9
2016-05-04_14:15:02 1462364102 0x3; 343 rTX 10
2016-05-04_14:15:05 1462364105 0x8; 343 rTX 10
2016-05-04_14:15:06 1462364106 0x7; 343 rTX 10
2016-05-04_14:15:12 1462364112 0x3; 343 rTXERR
2016-05-04_14:15:13 1462364113 0x8; 343 rTXERR
2016-05-04_14:15:18 1462364118 0x7; 343 rTXERR
2016-05-04_14:16:49 1462364209 0x3; 344 rTX 0
2016-05-04_14:16:49 1462364209 0x3; 344 rTX 1
2016-05-04_14:16:53 1462364213 0x7; 344 rTX 0
2016-05-04_14:16:53 1462364213 0x7; 344 rTX 1
2016-05-04_14:16:53 1462364213 0x7; 344 rTX 2
2016-05-04_14:16:53 1462364213 0x7; 344 rTX 3
2016-05-04_14:16:53 1462364213 0x7; 344 rTX 4
2016-05-04_14:16:53 1462364213 0x7; 344 rTX 5
