2016-06-05_05:05:03 1465095903 0xB, 9 62 49.40 43.15-0.95
2016-06-05_05:06:11 1465095971 0xB, A 61 47.88 46.12-0.26
2016-06-05_05:07:03 1465096023 0xB, 9 63 55.00 48.00-0.96
2016-06-05_05:08:11 1465096091 0xB, A 62 54.15 51.35-0.37
2016-06-05_05:09:03 1465096143 0xB, 9 64 61.47 53.95-0.92
2016-06-05_05:10:11 1465096211 0xB, A 63 60.11 56.92-0.38
2016-06-05_05:11:03 1465096263 0xB, 9 65 68.95 59.84-1.00
2016-06-05_05:12:11 1465096331 0xB, A 64 66.63 62.83-0.41
2016-06-05_05:13:03 1465096383 0xB, 9 66 76.12 66.27-0.98
2016-06-05_05:14:11 1465096451 0xB, A 65 72.95 69.59-0.33
2016-06-05_05:15:03 1465096503 0xB, 9 67 83.72 72.27-1.04
2016-06-05_05:16:11 1465096571 0xB, A 66 80.59 76.87-0.33
2016-06-05_05:17:03 1465096623 0xB, 9 68 91.59 79.12-1.03
2016-06-05_05:18:11 1465096691 0xB, A 67 87.36 83.11-0.35
2016-06-05_05:19:03 1465096743 0xB, 9 69 99.59 86.40-1.00
2016-06-05_05:20:11 1465096811 0xB, A 68 95.04 90.67-0.33
2016-06-05_05:21:03 1465096863 0xB, 9 70 108.83 94.12-1.02
2016-06-05_05:22:11 1465096931 0xB, A 69 103.59 98.79-0.33
2016-06-05_05:23:03 1465096983 0xB, 9 71 118.12 101.55-1.06
2016-06-05_05:24:11 1465097051 0xB, A 70 111.76 107.27-0.28
2016-06-05_05:25:03 1465097103 0xB, 9 72 128.44 110.36-1.07
2016-06-05_05:26:11 1465097171 0xB, A 71 120.72 115.11-0.33
2016-06-05_05:27:03 1465097223 0xB, 9 73 138.00 118.23-1.09
2016-06-05_05:28:11 1465097291 0xB, A 72 130.24 123.24-0.39
2016-06-05_05:29:03 1465097343 0xB, 9 74 149.39 127.27-1.13
2016-06-05_05:30:11 1465097411 0xB, A 73 140.00 132.43-0.39
2016-06-05_05:31:03 1465097463 0xB, 9 75 160.24 136.67-1.12
2016-06-05_05:32:11 1465097531 0xB, A 74 149.16 141.84-0.35
2016-06-05_05:33:03 1465097583 0xB, 9 76 172.08 145.11-1.20
2016-06-05_05:34:11 1465097651 0xB, A 75 158.19 148.91-0.42
2016-06-05_05:35:03 1465097703 0xB, 9 77 183.39 154.47-1.21
2016-06-05_05:36:11 1465097771 0xB, A 76 169.27 160.84-0.36
2016-06-05_05:37:03 1465097823 0xB, 9 78 196.19 164.80-1.23
2016-06-05_05:38:11 1465097891 0xB, A 77 179.44 170.03-0.38
2016-06-05_05:39:03 1465097943 0xB, 9 79 208.80 174.83-1.25
2016-06-05_05:40:11 1465098011 0xB, A 78 189.80 179.63-0.38
2016-06-05_05:41:03 1465098063 0xB, 9 80 223.19 183.52-1.38
2016-06-05_05:42:11 1465098131 0xB, A 79 201.32 190.68-0.38
2016-06-05_05:43:03 1465098183 0xB, 9 81 237.36 195.11-1.38
2016-06-05_05:44:11 1465098251 0xB, A 80 212.52 201.07-0.39
2016-06-05_05:45:03 1465098303 0xB, 9 82 253.36 205.80-1.47
2016-06-05_05:46:11 1465098371 0xB, A 81 223.91 212.55-0.36
2016-06-05_05:47:03 1465098423 0xB, 9 83 268.32 216.83-1.50
2016-06-05_05:48:11 1465098491 0xB, A 82 235.96 223.16-0.39
2016-06-05_05:49:03 1465098543 0xB, 9 84 285.23 229.16-1.55
2016-06-05_05:50:11 1465098611 0xB, A 83 242.83 235.27-0.22
2016-06-05_05:51:03 1465098663 0xB, 9 85 303.27 239.91-1.65
2016-06-05_05:52:11 1465098731 0xB, A 84 254.80 246.07-0.24
2016-06-05_05:53:03 1465098783 0xB, 9 86 320.51 250.60-1.74
2016-06-05_05:54:11 1465098851 0xB, A 85 265.88 257.95-0.21
2016-06-05_05:55:03 1465098903 0xB, 9 87 339.16 262.23-1.82
2016-06-05_05:56:11 1465098971 0xB, A 86 278.20 268.83-0.24
2016-06-05_05:57:03 1465099023 0xB, 9 88 358.51 274.20-1.89
2016-06-05_05:58:11 1465099091 0xB, A 87 290.16 280.95-0.22
2016-06-05_05:59:03 1465099143 0xB, 9 89 379.20 286.44-1.98
2016-06-05_06:00:11 1465099211 0xB, A 88 303.00 292.36-0.25
2016-06-05_06:01:03 1465099263 0xB, 9 90 398.27 297.92-2.05
2016-06-05_06:02:11 1465099331 0xB, A 89 315.32 304.83-0.23
2016-06-05_06:03:03 1465099383 0xB, 9 91 418.44 309.39-2.13
2016-06-05_06:04:11 1465099451 0xB, A 90 328.04 315.71-0.27
2016-06-05_06:05:03 1465099503 0xB, 9 92 438.72 321.48-2.20
2016-06-05_06:06:11 1465099571 0xB, A 91 340.35 328.11-0.25
2016-06-05_06:07:03 1465099623 0xB, 9 93 461.39 336.32-2.23
2016-06-05_06:08:11 1465099691 0xB, A 92 374.76 353.51-0.41
2016-06-05_06:09:03 1465099743 0xB, 9 94 485.44 369.60-1.93
2016-06-05_06:10:11 1465099811 0xB, A 93 416.83 388.75-0.49
2016-06-05_06:11:03 1465099863 0xB, 9 95 507.83 399.95-1.69
2016-06-05_06:12:11 1465099931 0xB, A 94 435.27 409.71-0.42
2016-06-05_06:13:03 1465099983 0xB, 9 96 529.55 416.67-1.69
2016-06-05_06:14:11 1465100051 0xB, A 95 452.79 426.55-0.42
2016-06-05_06:15:03 1465100103 0xB, 9 97 552.40 434.44-1.70
2016-06-05_06:16:11 1465100171 0xB, A 96 471.64 443.68-0.43
2016-06-05_06:17:03 1465100223 0xB, 9 98 578.28 452.32-1.73
2016-06-05_06:18:11 1465100291 0xB, A 97 492.11 463.79-0.41
2016-06-05_06:19:03 1465100343 0xB, 9 99 603.88 470.64-1.76
2016-06-05_06:20:11 1465100411 0xB, A 98 512.20 475.75-0.52
2016-06-05_06:40:11 1465101611 0xB, A 108 564.28 543.75-0.26
2016-06-05_06:41:03 1465101663 0xB, 9 110 907.64 546.11-3.59
2016-06-05_06:42:11 1465101731 0xB, A 109 567.11 549.36-0.22
2016-06-05_06:43:03 1465101783 0xB, 9 111 930.67 553.20-3.68
2016-06-05_06:44:11 1465101851 0xB, A 110 576.71 559.00-0.22
2016-06-05_06:45:03 1465101903 0xB, 9 112 949.59 563.71-3.69
2016-06-05_06:46:11 1465101971 0xB, A 111 589.20 570.00-0.23
2016-06-05_06:47:03 1465102023 0xB, 9 113 966.76 574.64-3.68
2016-06-05_06:48:11 1465102091 0xB, A 112 600.11 580.72-0.23
2016-06-05_06:49:03 1465102143 0xB, 9 114 980.76 585.20-3.65
2016-06-05_06:50:11 1465102211 0xB, A 113 611.88 592.15-0.23
2016-06-05_06:51:03 1465102263 0xB, 9 115 994.79 596.47-3.62
2016-06-05_06:52:11 1465102331 0xB, A 114 622.71 602.43-0.23
2016-06-05_06:54:11 1465102451 0xB, A 115 635.11 614.64-0.23
2016-06-05_06:55:03 1465102503 0xB, 9 117 1019.91 618.96-3.53
2016-06-05_06:56:11 1465102571 0xB, A 116 647.71 626.39-0.23
2016-06-05_06:58:12 1465102692 0xB, A 117280,280,280,27f,281,281,282,280,27f,280,282,27e,280,281,282,282,283,281,281,281,280,280,280,281,280-17c4,936-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:d7/67;0:15/6c
2016-06-05_07:02:11 1465102931 0xB, A 119 707.76 682.51-0.25
2016-06-05_07:30:43 1465104643 0xB, 9 132 1127.19 813.44-2.30
2016-06-05_07:32:43 1465104763 0xB, 9 133 1131.92 820.96-2.27
2016-06-05_07:34:21 1465104861 0xB, A 132 857.00 829.36-0.23
