2016-05-04_01:30:07 1462318207 0x5; 40 rTX 5
2016-05-04_01:32:02 1462318322 0x1; 41 rTX 0
2016-05-04_01:32:02 1462318322 0x1; 41 rTX 1
2016-05-04_01:32:02 1462318322 0x1; 41 rTX 2
2016-05-04_01:32:02 1462318322 0x1; 41 rTX 3
2016-05-04_01:32:02 1462318322 0x1; 41 rTX 4
2016-05-04_01:32:06 1462318326 0x5; 41 rTX 0
2016-05-04_01:32:06 1462318326 0x5; 41 rTX 1
2016-05-04_01:32:06 1462318326 0x5; 41 rTX 2
2016-05-04_01:32:06 1462318326 0x5; 41 rTX 3
2016-05-04_01:32:08 1462318328 0x6; 41 rTX 0
2016-05-04_01:32:08 1462318328 0x6; 41 rTX 1
2016-05-04_01:32:08 1462318328 0x6; 41 rTX 2
2016-05-04_01:38:06 1462318686 0x5; 44 rTX 0
2016-05-04_01:38:06 1462318686 0x5; 44 rTX 1
2016-05-04_01:38:06 1462318686 0x5; 44 rTX 2
2016-05-04_01:40:03 1462318803 0x1; 45 rTX 0
2016-05-04_01:40:03 1462318803 0x1; 45 rTX 1
2016-05-04_01:40:03 1462318803 0x1; 45 rTX 2
2016-05-04_01:40:03 1462318803 0x1; 45 rTX 3
2016-05-04_01:42:02 1462318922 0x1; 46 rTX 0
2016-05-04_01:42:03 1462318923 0x2; 46 rTX 0
2016-05-04_01:42:03 1462318923 0x2; 46 rTX 1
2016-05-04_01:42:03 1462318923 0x2; 46 rTX 2
2016-05-04_01:44:03 1462319043 0x1; 47 rTX 0
2016-05-04_01:44:03 1462319043 0x2; 47 rTX 0
2016-05-04_01:44:04 1462319044 0x2; 47 rTX 1
2016-05-04_01:44:04 1462319044 0x2; 47 rTX 2
2016-05-04_01:46:02 1462319162 0x1; 48 rTX 0
2016-05-04_01:46:02 1462319162 0x1; 48 rTX 1
2016-05-04_01:46:02 1462319162 0x1; 48 rTX 2
2016-05-04_01:46:02 1462319162 0x1; 48 rTX 3
2016-05-04_01:46:03 1462319163 0x1; 48 rTX 4
2016-05-04_01:46:03 1462319163 0x1; 48 rTX 5
2016-05-04_01:46:03 1462319163 0x1; 48 rTX 6
2016-05-04_01:48:02 1462319282 0x1; 49 rTX 0
2016-05-04_01:48:02 1462319282 0x1; 49 rTX 1
2016-05-04_01:48:02 1462319282 0x1; 49 rTX 2
2016-05-04_01:48:02 1462319282 0x1; 49 rTX 3
2016-05-04_01:48:06 1462319286 0x5; 49 rTX 0
2016-05-04_01:48:06 1462319286 0x5; 49 rTX 1
2016-05-04_01:48:06 1462319286 0x5; 49 rTX 2
2016-05-04_01:48:08 1462319288 0x6; 49 rTX 0
2016-05-04_01:48:08 1462319288 0x6; 49 rTX 1
2016-05-04_01:48:08 1462319288 0x6; 49 rTX 2
2016-05-04_01:48:08 1462319288 0x6; 49 rTX 3
2016-05-04_01:50:02 1462319403 0x1; 50 rTX 0
2016-05-04_01:50:03 1462319403 0x1; 50 rTX 1
2016-05-04_01:50:03 1462319403 0x1; 50 rTX 2
2016-05-04_01:50:03 1462319403 0x1; 50 rTX 3
2016-05-04_01:50:06 1462319406 0x5; 50 rTX 0
2016-05-04_01:52:02 1462319522 0x1; 51 rTX 0
2016-05-04_01:54:08 1462319648 0x6; 52 rTX 0
2016-05-04_01:54:08 1462319648 0x6; 52 rTX 1
2016-05-04_01:54:08 1462319648 0x6; 52 rTX 2
2016-05-04_01:54:08 1462319648 0x6; 52 rTX 3
2016-05-04_01:58:02 1462319882 0x1; 54 rTX 0
2016-05-04_01:58:03 1462319883 0x1; 54 rTX 1
2016-05-04_01:58:03 1462319883 0x1; 54 rTX 2
2016-05-04_01:58:03 1462319883 0x1; 54 rTX 3
2016-05-04_01:58:03 1462319883 0x1; 54 rTX 4
2016-05-04_01:58:03 1462319883 0x1; 54 rTX 5
2016-05-04_02:00:03 1462320003 0x1; 55 rTX 0
2016-05-04_02:00:03 1462320003 0x1; 55 rTX 1
2016-05-04_02:00:03 1462320003 0x1; 55 rTX 2
2016-05-04_02:00:03 1462320003 0x1; 55 rTX 3
2016-05-04_02:00:03 1462320003 0x1; 55 rTX 4
2016-05-04_02:00:03 1462320004 0x2; 55 rTX 0
2016-05-04_02:00:04 1462320004 0x2; 55 rTX 1
2016-05-04_02:00:04 1462320004 0x2; 55 rTX 2
2016-05-04_02:00:04 1462320004 0x2; 55 rTX 3
2016-05-04_02:02:02 1462320122 0x1; 56 rTX 0
2016-05-04_02:02:02 1462320122 0x1; 56 rTX 1
2016-05-04_02:02:02 1462320122 0x1; 56 rTX 2
2016-05-04_02:02:02 1462320122 0x1; 56 rTX 3
2016-05-04_02:02:03 1462320123 0x1; 56 rTX 4
2016-05-04_02:02:03 1462320123 0x2; 56 rTX 0
2016-05-04_02:02:07 1462320127 0x5; 56 rTX 0
2016-05-04_02:02:07 1462320127 0x5; 56 rTX 1
2016-05-04_02:02:07 1462320127 0x5; 56 rTX 2
2016-05-04_02:02:07 1462320127 0x5; 56 rTX 3
2016-05-04_02:04:03 1462320243 0x1; 57 rTX 0
2016-05-04_02:04:03 1462320243 0x1; 57 rTX 1
2016-05-04_02:04:03 1462320243 0x1; 57 rTX 2
2016-05-04_02:04:03 1462320243 0x1; 57 rTX 3
2016-05-04_02:04:06 1462320246 0x5; 57 rTX 0
2016-05-04_02:04:06 1462320246 0x5; 57 rTX 1
2016-05-04_02:04:06 1462320246 0x5; 57 rTX 2
2016-05-04_02:04:08 1462320248 0x6; 57 rTX 0
2016-05-04_02:04:08 1462320248 0x6; 57 rTX 1
2016-05-04_02:06:02 1462320362 0x1; 58 rTX 0
2016-05-04_02:06:02 1462320362 0x1; 58 rTX 1
2016-05-04_02:06:02 1462320362 0x1; 58 rTX 2
2016-05-04_02:06:06 1462320366 0x5; 58 rTX 0
2016-05-04_02:06:06 1462320366 0x5; 58 rTX 1
2016-05-04_02:06:08 1462320368 0x6; 58 rTX 0
2016-05-04_02:06:08 1462320368 0x6; 58 rTX 1
2016-05-04_02:16:03 1462320963 0x2; 63 rTX 0
2016-05-04_02:16:03 1462320963 0x2; 63 rTX 1
2016-05-04_02:16:03 1462320963 0x2; 63 rTX 2
2016-05-04_02:16:03 1462320963 0x2; 63 rTX 3
2016-05-04_02:18:03 1462321083 0x2; 64 rTX 0
2016-05-04_02:18:03 1462321083 0x2; 64 rTX 1
2016-05-04_02:20:03 1462321203 0x1; 65 rTX 0
2016-05-04_02:20:03 1462321203 0x1; 65 rTX 1
2016-05-04_02:20:03 1462321203 0x1; 65 rTX 2
2016-05-04_02:20:03 1462321203 0x1; 65 rTX 3
2016-05-04_02:20:07 1462321207 0x5; 65 rTX 0
2016-05-04_02:20:07 1462321207 0x5; 65 rTX 1
2016-05-04_02:20:07 1462321207 0x5; 65 rTX 2
2016-05-04_02:20:07 1462321207 0x5; 65 rTX 3
2016-05-04_02:20:08 1462321208 0x6; 65 rTX 0
2016-05-04_02:20:08 1462321208 0x6; 65 rTX 1
2016-05-04_02:20:08 1462321208 0x6; 65 rTX 2
2016-05-04_02:20:08 1462321208 0x6; 65 rTX 3
2016-05-04_02:22:02 1462321322 0x1; 66 rTX 0
2016-05-04_02:22:02 1462321322 0x1; 66 rTX 1
2016-05-04_02:22:02 1462321322 0x1; 66 rTX 2
2016-05-04_02:22:06 1462321326 0x5; 66 rTX 0
2016-05-04_02:28:02 1462321682 0x1; 69 rTX 0
2016-05-04_02:28:02 1462321682 0x1; 69 rTX 1
2016-05-04_02:28:02 1462321682 0x1; 69 rTX 2
2016-05-04_02:30:03 1462321803 0x2; 70 rTX 0
2016-05-04_02:30:03 1462321803 0x2; 70 rTX 1
2016-05-04_02:30:03 1462321803 0x2; 70 rTX 2
2016-05-04_02:32:02 1462321922 0x1; 71 rTX 0
2016-05-04_02:32:03 1462321923 0x1; 71 rTX 1
2016-05-04_02:32:03 1462321923 0x1; 71 rTX 2
2016-05-04_02:32:03 1462321923 0x1; 71 rTX 3
2016-05-04_02:32:07 1462321927 0x5; 71 rTX 0
2016-05-04_02:32:07 1462321927 0x5; 71 rTX 1
2016-05-04_02:32:07 1462321927 0x5; 71 rTX 2
2016-05-04_02:32:07 1462321927 0x5; 71 rTX 3
2016-05-04_02:32:08 1462321928 0x6; 71 rTX 0
2016-05-04_02:32:08 1462321928 0x6; 71 rTX 1
2016-05-04_02:32:08 1462321928 0x6; 71 rTX 2
2016-05-04_02:32:08 1462321928 0x6; 71 rTX 3
2016-05-04_02:34:03 1462322043 0x1; 72 rTX 0
2016-05-04_02:34:03 1462322043 0x1; 72 rTX 1
2016-05-04_02:34:03 1462322043 0x1; 72 rTX 2
2016-05-04_02:34:03 1462322043 0x1; 72 rTX 3
2016-05-04_02:34:07 1462322047 0x5; 72 rTX 0
2016-05-04_02:34:07 1462322047 0x5; 72 rTX 1
2016-05-04_02:34:07 1462322047 0x5; 72 rTX 2
2016-05-04_02:34:08 1462322048 0x6; 72 rTX 0
2016-05-04_02:34:08 1462322048 0x6; 72 rTX 1
2016-05-04_02:34:08 1462322048 0x6; 72 rTX 2
2016-05-04_02:36:02 1462322162 0x1; 73 rTX 0
2016-05-04_02:36:02 1462322162 0x1; 73 rTX 1
2016-05-04_02:36:02 1462322162 0x1; 73 rTX 2
2016-05-04_02:36:02 1462322162 0x1; 73 rTX 3
2016-05-04_02:36:06 1462322166 0x5; 73 rTX 0
2016-05-04_02:36:06 1462322166 0x5; 73 rTX 1
2016-05-04_02:38:02 1462322282 0x1; 74 rTX 0
2016-05-04_02:38:02 1462322282 0x1; 74 rTX 1
2016-05-04_02:38:02 1462322282 0x1; 74 rTX 2
2016-05-04_02:42:02 1462322522 0x1; 76 rTX 0
2016-05-04_02:42:03 1462322523 0x1; 76 rTX 1
2016-05-04_02:42:03 1462322523 0x1; 76 rTX 2
2016-05-04_02:42:03 1462322523 0x1; 76 rTX 3
2016-05-04_02:44:03 1462322643 0x1; 77 rTX 0
2016-05-04_02:44:03 1462322643 0x1; 77 rTX 1
2016-05-04_02:44:03 1462322643 0x1; 77 rTX 2
2016-05-04_02:44:03 1462322643 0x1; 77 rTX 3
2016-05-04_02:44:03 1462322643 0x1; 77 rTX 4
2016-05-04_02:44:03 1462322643 0x1; 77 rTX 5
2016-05-04_02:46:03 1462322763 0x2; 78 rTX 0
2016-05-04_02:46:04 1462322764 0x2; 78 rTX 1
