2016-05-08_04:55:03 1462676103 0xB, A 65 1.55 1.72 0.69
2016-05-08_04:55:36 1462676136 0xB, 9 67 2.52 2.07-1.35
2016-05-08_04:57:04 1462676224 0xB, A 66 1.79 1.87 0.30
2016-05-08_04:57:36 1462676256 0xB, 9 68 2.79 1.88-2.82
2016-05-08_04:59:03 1462676343 0xB, A 67 2.35 2.39 0.11
2016-05-08_04:59:36 1462676376 0xB, 9 69 2.83 2.16-1.93
2016-05-08_05:01:03 1462676463 0xB, A 68 2.92 2.39-1.38
2016-05-08_05:01:36 1462676496 0xB, 9 70 3.27 2.44-2.09
2016-05-08_05:03:03 1462676583 0xB, A 69 3.07 2.47-1.53
2016-05-08_05:03:36 1462676616 0xB, 9 71 3.48 3.03-0.95
2016-05-08_05:05:03 1462676703 0xB, A 70 2.88 2.51-0.94
2016-05-08_05:05:36 1462676736 0xB, 9 72 4.19 3.24-1.83
2016-05-08_05:07:03 1462676823 0xB, A 71 3.27 3.35 0.17
2016-05-08_05:07:36 1462676856 0xB, 9 73 4.80 3.52-2.19
2016-05-08_05:09:03 1462676943 0xB, A 72 3.55 2.88-1.50
2016-05-08_05:09:36 1462676976 0xB, 9 74 5.11 3.72-2.26
2016-05-08_05:11:03 1462677063 0xB, A 73 4.80 4.07-1.15
2016-05-08_05:11:36 1462677096 0xB, 9 75 5.88 4.52-1.86
2016-05-08_05:13:03 1462677183 0xB, A 74 5.28 5.03-0.32
2016-05-08_05:13:36 1462677216 0xB, 9 76 6.92 5.23-1.96
2016-05-08_05:15:03 1462677303 0xB, A 75 6.71 6.19-0.57
2016-05-08_05:15:36 1462677336 0xB, 9 77 8.31 6.44-1.81
2016-05-08_05:17:04 1462677424 0xB, A 76 7.96 7.39-0.51
2016-05-08_05:17:36 1462677456 0xB, 9 78 10.23 7.92-1.81
2016-05-08_05:19:03 1462677543 0xB, A 77 10.00 8.79-0.90
2016-05-08_05:19:36 1462677576 0xB, 9 79 12.19 9.96-1.43
2016-05-08_05:21:03 1462677663 0xB, A 78 12.31 11.07-0.75
2016-05-08_05:21:36 1462677696 0xB, 9 80 15.00 11.60-1.82
2016-05-08_05:23:03 1462677783 0xB, A 79 15.35 13.24-1.05
2016-05-08_05:23:36 1462677816 0xB, 9 81 17.44 14.15-1.47
2016-05-08_05:25:03 1462677903 0xB, A 80 17.04 16.52-0.21
2016-05-08_05:25:36 1462677936 0xB, 9 82 21.12 16.92-1.57
2016-05-08_05:27:04 1462678024 0xB, A 81 21.20 19.39-0.62
2016-05-08_05:27:36 1462678056 0xB, 9 83 25.00 20.23-1.49
2016-05-08_05:29:03 1462678143 0xB, A 82 24.87 23.23-0.48
2016-05-08_05:29:36 1462678176 0xB, 9 84 29.84 24.07-1.51
2016-05-08_05:31:03 1462678263 0xB, A 83 29.68 27.27-0.59
2016-05-08_05:31:36 1462678296 0xB, 9 85 34.79 27.95-1.54
2016-05-08_05:33:03 1462678383 0xB, A 84 34.88 31.59-0.69
2016-05-08_05:33:36 1462678416 0xB, 9 86 40.91 32.75-1.57
2016-05-08_05:35:03 1462678503 0xB, A 85 40.08 37.51-0.46
2016-05-08_05:35:36 1462678536 0xB, 9 87 47.20 38.56-1.43
2016-05-08_05:37:04 1462678624 0xB, A 86 46.47 42.43-0.64
2016-05-08_05:37:36 1462678656 0xB, 9 88 54.36 44.00-1.49
2016-05-08_05:39:03 1462678743 0xB, A 87 53.20 49.04-0.57
2016-05-08_05:39:36 1462678776 0xB, 9 89 62.36 50.36-1.51
2016-05-08_05:41:03 1462678863 0xB, A 88 61.20 56.04-0.62
2016-05-08_05:41:36 1462678896 0xB, 9 90 70.04 57.84-1.35
2016-05-08_05:43:03 1462678983 0xB, A 89 69.08 63.04-0.64
2016-05-08_05:43:36 1462679016 0xB, 9 91 79.59 64.87-1.44
2016-05-08_05:45:03 1462679103 0xB, A 90 77.16 70.79-0.60
2016-05-08_05:45:36 1462679136 0xB, 9 92 89.48 72.87-1.45
2016-05-08_05:47:03 1462679223 0xB, A 91 86.23 79.00-0.62
2016-05-08_05:47:36 1462679256 0xB, 9 93 99.44 81.08-1.44
2016-05-08_05:49:03 1462679343 0xB, A 92 96.31 87.71-0.66
2016-05-08_05:49:36 1462679376 0xB, 9 94 111.63 90.00-1.52
