2016-05-06_13:23:02 1462533782 0x5; 329 rTXERR
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 0
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 1
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 2
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 3
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 4
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 5
2016-05-06_13:24:37 1462533877 0x5; 330 rTX 6
2016-05-06_13:24:38 1462533878 0x5; 330 rTX 7
2016-05-06_13:24:40 1462533880 0x5; 330 rTX 8
2016-05-06_13:24:43 1462533883 0x5; 330 rTX 9
2016-05-06_13:24:50 1462533890 0x5; 330 rTX 10
2016-05-06_13:25:03 1462533903 0x5; 330 rTXERR
2016-05-06_13:26:37 1462533997 0x5; 331 rTX 0
2016-05-06_13:26:37 1462533997 0x5; 331 rTX 1
2016-05-06_13:26:37 1462533997 0x5; 331 rTX 2
2016-05-06_13:26:37 1462533997 0x5; 331 rTX 3
2016-05-06_13:26:37 1462533997 0x5; 331 rTX 4
2016-05-06_13:26:37 1462533997 0x5; 331 rTX 5
2016-05-06_13:26:38 1462533998 0x5; 331 rTX 6
2016-05-06_13:26:38 1462533998 0x5; 331 rTX 7
2016-05-06_13:26:40 1462534000 0x5; 331 rTX 8
2016-05-06_13:26:43 1462534003 0x5; 331 rTX 9
2016-05-06_13:26:50 1462534010 0x5; 331 rTX 10
2016-05-06_13:27:05 1462534025 0x5; 331 rTXERR
2016-05-06_13:28:37 1462534117 0x5; 332 rTX 0
2016-05-06_13:28:37 1462534117 0x5; 332 rTX 1
2016-05-06_13:28:37 1462534117 0x5; 332 rTX 2
2016-05-06_13:28:37 1462534117 0x5; 332 rTX 3
2016-05-06_13:28:37 1462534117 0x5; 332 rTX 4
2016-05-06_13:28:37 1462534117 0x5; 332 rTX 5
2016-05-06_13:28:38 1462534118 0x5; 332 rTX 6
2016-05-06_13:28:38 1462534118 0x5; 332 rTX 7
2016-05-06_13:28:40 1462534120 0x5; 332 rTX 8
2016-05-06_13:28:43 1462534123 0x5; 332 rTX 9
2016-05-06_13:28:47 1462534127 0x5; 332 rTX 10
2016-05-06_13:28:57 1462534137 0x5; 332 rTXERR
2016-05-06_13:30:37 1462534237 0x5; 333 rTX 0
2016-05-06_13:30:37 1462534237 0x5; 333 rTX 1
2016-05-06_13:30:37 1462534237 0x5; 333 rTX 2
2016-05-06_13:30:37 1462534237 0x5; 333 rTX 3
2016-05-06_13:30:37 1462534237 0x5; 333 rTX 4
2016-05-06_13:30:37 1462534237 0x5; 333 rTX 5
2016-05-06_13:30:38 1462534238 0x5; 333 rTX 6
2016-05-06_13:30:38 1462534238 0x5; 333 rTX 7
2016-05-06_13:30:39 1462534239 0x5; 333 rTX 8
2016-05-06_13:30:43 1462534243 0x5; 333 rTX 9
2016-05-06_13:30:50 1462534250 0x5; 333 rTX 10
2016-05-06_13:31:00 1462534260 0x5; 333 rTXERR
2016-05-06_13:34:34 1462534474 0x2; 335 rTX 0
2016-05-06_13:34:37 1462534477 0x5; 335 rTX 0
2016-05-06_13:34:37 1462534477 0x5; 335 rTX 1
2016-05-06_13:34:37 1462534477 0x5; 335 rTX 2
2016-05-06_13:34:37 1462534477 0x5; 335 rTX 3
2016-05-06_13:34:37 1462534477 0x5; 335 rTX 4
2016-05-06_13:34:37 1462534477 0x5; 335 rTX 5
2016-05-06_13:34:38 1462534478 0x5; 335 rTX 6
2016-05-06_13:34:38 1462534478 0x5; 335 rTX 7
2016-05-06_13:34:40 1462534480 0x5; 335 rTX 8
2016-05-06_13:34:43 1462534483 0x5; 335 rTX 9
2016-05-06_13:34:51 1462534491 0x5; 335 rTX 10
2016-05-06_13:35:03 1462534503 0x5; 335 rTXERR
2016-05-06_13:38:37 1462534717 0x5; 337 rTX 0
2016-05-06_13:38:37 1462534717 0x5; 337 rTX 1
2016-05-06_13:38:37 1462534717 0x5; 337 rTX 2
2016-05-06_13:38:37 1462534717 0x5; 337 rTX 3
2016-05-06_13:38:37 1462534717 0x5; 337 rTX 4
2016-05-06_13:38:37 1462534717 0x5; 337 rTX 5
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 0
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 1
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 2
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 3
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 4
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 5
2016-05-06_13:40:37 1462534837 0x5; 338 rTX 6
2016-05-06_13:40:38 1462534838 0x5; 338 rTX 7
2016-05-06_13:40:39 1462534839 0x5; 338 rTX 8
2016-05-06_13:40:42 1462534842 0x5; 338 rTX 9
2016-05-06_13:40:46 1462534846 0x5; 338 rTX 10
2016-05-06_13:41:02 1462534862 0x5; 338 rTXERR
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 0
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 1
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 2
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 3
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 4
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 5
2016-05-06_13:42:37 1462534957 0x5; 339 rTX 6
2016-05-06_13:42:38 1462534958 0x5; 339 rTX 7
2016-05-06_13:42:40 1462534960 0x5; 339 rTX 8
2016-05-06_13:42:42 1462534962 0x5; 339 rTX 9
2016-05-06_13:42:47 1462534967 0x5; 339 rTX 10
2016-05-06_13:42:59 1462534979 0x5; 339 rTXERR
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 0
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 1
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 2
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 3
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 4
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 5
2016-05-06_13:44:37 1462535077 0x5; 340 rTX 6
2016-05-06_13:44:38 1462535078 0x5; 340 rTX 7
2016-05-06_13:44:40 1462535080 0x5; 340 rTX 8
2016-05-06_13:44:44 1462535084 0x5; 340 rTX 9
2016-05-06_13:44:52 1462535092 0x5; 340 rTX 10
2016-05-06_13:45:02 1462535102 0x5; 340 rTXERR
2016-05-06_13:46:37 1462535197 0x5; 341 rTX 0
2016-05-06_13:46:37 1462535197 0x5; 341 rTX 1
2016-05-06_13:46:37 1462535197 0x5; 341 rTX 2
2016-05-06_13:46:37 1462535197 0x5; 341 rTX 3
2016-05-06_13:46:37 1462535197 0x5; 341 rTX 4
2016-05-06_13:46:37 1462535197 0x5; 341 rTX 5
2016-05-06_13:46:38 1462535198 0x5; 341 rTX 6
2016-05-06_13:46:38 1462535198 0x5; 341 rTX 7
2016-05-06_13:46:40 1462535200 0x5; 341 rTX 8
2016-05-06_13:46:43 1462535203 0x5; 341 rTX 9
2016-05-06_13:46:48 1462535208 0x5; 341 rTX 10
2016-05-06_13:48:37 1462535317 0x5; 342 rTX 0
2016-05-06_13:48:37 1462535317 0x5; 342 rTX 1
2016-05-06_13:50:37 1462535437 0x5; 343 rTX 0
2016-05-06_13:50:37 1462535437 0x5; 343 rTX 1
2016-05-06_13:50:37 1462535437 0x5; 343 rTX 2
2016-05-06_13:50:37 1462535437 0x5; 343 rTX 3
2016-05-06_13:50:37 1462535437 0x5; 343 rTX 4
2016-05-06_13:50:37 1462535437 0x5; 343 rTX 5
2016-05-06_13:50:38 1462535438 0x5; 343 rTX 6
2016-05-06_13:50:38 1462535438 0x5; 343 rTX 7
2016-05-06_13:50:40 1462535440 0x5; 343 rTX 8
2016-05-06_13:50:44 1462535444 0x5; 343 rTX 9
2016-05-06_13:50:51 1462535451 0x5; 343 rTX 10
2016-05-06_13:52:37 1462535557 0x5; 344 rTX 0
2016-05-06_13:52:37 1462535557 0x5; 344 rTX 1
2016-05-06_13:52:37 1462535557 0x5; 344 rTX 2
2016-05-06_13:52:37 1462535557 0x5; 344 rTX 3
2016-05-06_13:52:37 1462535557 0x5; 344 rTX 4
2016-05-06_13:52:37 1462535557 0x5; 344 rTX 5
2016-05-06_13:52:38 1462535558 0x5; 344 rTX 6
2016-05-06_13:52:39 1462535559 0x5; 344 rTX 7
2016-05-06_13:54:37 1462535677 0x5; 345 rTX 0
2016-05-06_13:54:37 1462535677 0x5; 345 rTX 1
2016-05-06_13:54:37 1462535677 0x5; 345 rTX 2
2016-05-06_13:54:37 1462535677 0x5; 345 rTX 3
2016-05-06_13:56:37 1462535797 0x5; 346 rTX 0
2016-05-06_13:56:37 1462535797 0x5; 346 rTX 1
2016-05-06_13:56:37 1462535797 0x5; 346 rTX 2
2016-05-06_13:56:37 1462535797 0x5; 346 rTX 3
2016-05-06_13:56:37 1462535797 0x5; 346 rTX 4
2016-05-06_13:58:37 1462535917 0x5; 347 rTX 0
2016-05-06_14:00:37 1462536037 0x5; 348 rTX 0
2016-05-06_14:00:37 1462536037 0x5; 348 rTX 1
2016-05-06_14:00:37 1462536037 0x5; 348 rTX 2
2016-05-06_14:00:37 1462536037 0x5; 348 rTX 3
2016-05-06_14:00:37 1462536037 0x5; 348 rTX 4
2016-05-06_14:00:37 1462536037 0x5; 348 rTX 5
2016-05-06_14:00:38 1462536038 0x5; 348 rTX 6
2016-05-06_14:00:38 1462536038 0x5; 348 rTX 7
2016-05-06_14:00:40 1462536040 0x5; 348 rTX 8
2016-05-06_14:00:44 1462536044 0x5; 348 rTX 9
2016-05-06_14:00:51 1462536051 0x5; 348 rTX 10
2016-05-06_14:01:00 1462536060 0x5; 348 rTXERR
2016-05-06_14:02:37 1462536157 0x5; 349 rTX 0
2016-05-06_14:02:37 1462536157 0x5; 349 rTX 1
2016-05-06_14:02:37 1462536157 0x5; 349 rTX 2
2016-05-06_14:02:37 1462536157 0x5; 349 rTX 3
2016-05-06_14:02:37 1462536157 0x5; 349 rTX 4
2016-05-06_14:02:37 1462536157 0x5; 349 rTX 5
2016-05-06_14:02:38 1462536158 0x5; 349 rTX 6
2016-05-06_14:02:38 1462536158 0x5; 349 rTX 7
2016-05-06_14:02:40 1462536160 0x5; 349 rTX 8
2016-05-06_14:02:43 1462536163 0x5; 349 rTX 9
2016-05-06_14:02:50 1462536170 0x5; 349 rTX 10
2016-05-06_14:03:04 1462536184 0x5; 349 rTXERR
2016-05-06_14:04:37 1462536277 0x5; 350 rTX 0
2016-05-06_14:04:37 1462536277 0x5; 350 rTX 1
2016-05-06_14:04:37 1462536277 0x5; 350 rTX 2
2016-05-06_14:04:37 1462536277 0x5; 350 rTX 3
2016-05-06_14:04:37 1462536277 0x5; 350 rTX 4
2016-05-06_14:04:37 1462536277 0x5; 350 rTX 5
2016-05-06_14:04:38 1462536278 0x5; 350 rTX 6
2016-05-06_14:04:38 1462536278 0x5; 350 rTX 7
2016-05-06_14:04:39 1462536279 0x5; 350 rTX 8
2016-05-06_14:06:37 1462536397 0x5; 351 rTX 0
2016-05-06_14:06:37 1462536397 0x5; 351 rTX 1
2016-05-06_14:06:37 1462536397 0x5; 351 rTX 2
2016-05-06_14:06:37 1462536397 0x5; 351 rTX 3
2016-05-06_14:06:37 1462536397 0x5; 351 rTX 4
2016-05-06_14:06:37 1462536397 0x5; 351 rTX 5
2016-05-06_14:06:38 1462536398 0x5; 351 rTX 6
2016-05-06_14:08:37 1462536517 0x5; 352 rTX 0
2016-05-06_14:08:37 1462536517 0x5; 352 rTX 1
2016-05-06_14:08:37 1462536517 0x5; 352 rTX 2
2016-05-06_14:08:37 1462536517 0x5; 352 rTX 3
2016-05-06_14:08:37 1462536517 0x5; 352 rTX 4
2016-05-06_14:08:37 1462536517 0x5; 352 rTX 5
2016-05-06_14:08:38 1462536518 0x5; 352 rTX 6
2016-05-06_14:08:38 1462536518 0x5; 352 rTX 7
2016-05-06_14:08:40 1462536520 0x5; 352 rTX 8
2016-05-06_14:08:42 1462536522 0x5; 352 rTX 9
2016-05-06_14:08:49 1462536529 0x5; 352 rTX 10
2016-05-06_14:08:59 1462536539 0x5; 352 rTXERR
2016-05-06_14:10:37 1462536637 0x5; 353 rTX 0
2016-05-06_14:10:37 1462536637 0x5; 353 rTX 1
2016-05-06_14:10:37 1462536637 0x5; 353 rTX 2
2016-05-06_14:10:37 1462536637 0x5; 353 rTX 3
2016-05-06_14:10:37 1462536637 0x5; 353 rTX 4
2016-05-06_14:10:37 1462536637 0x5; 353 rTX 5
2016-05-06_14:10:38 1462536638 0x5; 353 rTX 6
2016-05-06_14:10:38 1462536638 0x5; 353 rTX 7
2016-05-06_14:10:40 1462536640 0x5; 353 rTX 8
2016-05-06_14:10:43 1462536643 0x5; 353 rTX 9
2016-05-06_14:10:48 1462536648 0x5; 353 rTX 10
2016-05-06_14:10:59 1462536659 0x5; 353 rTXERR
2016-05-06_14:12:37 1462536757 0x5; 354 rTX 0
2016-05-06_14:12:37 1462536757 0x5; 354 rTX 1
2016-05-06_14:14:37 1462536877 0x5; 355 rTX 0
2016-05-06_14:14:37 1462536877 0x5; 355 rTX 1
