2016-04-13_21:14:51 1460574891 0x9 88;1,3,6,6,1,3,3,2,2,3,2,1,2,6,1,3,2,3,2,2,0,2,0,0,2-154a,a46-0:db/6a;0:df/6b;0:0/0;0:0/0;0:d8/68;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:16:51 1460575011 0x9 89;3,2,3,2,2,2,2,1,4,2,2,0,6,2,3,2,2,3,1,2,1,2,3,2,1-1549,a47-0:da/6a;0:de/69;0:0/0;0:0/0;0:d8/6a;0:dd/69;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_21:18:51 1460575131 0x9 90;2,5,3,2,2,6,2,3,2,0,0,7,8,2,0,2,0,2,2,2,2,3,2,1,2-154a,a47-0:db/6b;0:df/6b;0:0/0;0:0/0;0:d8/6b;0:de/6a;0:0/0;0:0/0;0:0/0;0:dc/6b
2016-04-13_21:20:51 1460575251 0x9 91;2,2,4,3,2,2,3,1,0,3,2,2,2,3,2,2,4,2,2,2,3,1,1,2,2-154a,a46-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d8/67;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:22:51 1460575371 0x9 92;2,6,2,2,2,2,2,2,3,3,2,0,6,2,5,2,2,2,2,3,1,2,3,6,3-154c,a45-0:da/6a;0:df/6a;0:0/0;0:0/0;0:d7/69;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:24:51 1460575491 0x9 93;1,0,3,2,2,2,4,3,3,2,2,1,2,5,2,3,2,3,2,3,2,2,2,2,1-154d,a45-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d8/68;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_21:26:51 1460575611 0x9 94;2,2,2,6,3,1,2,3,2,8,2,6,2,1,8,1,2,2,2,3,7,3,2,2,2-1551,a44-0:da/69;0:df/6c;0:0/0;0:0/0;0:d8/69;0:de/6a;0:0/0;0:0/0;0:0/0;0:db/67
2016-04-13_21:28:51 1460575731 0x9 95;5,3,2,0,5,3,2,2,2,3,3,6,2,5,0,3,0,2,3,2,1,2,3,2,2-1550,a41-0:db/6a;0:df/6c;0:0/0;0:0/0;0:d8/6a;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:30:51 1460575851 0x9 96;2,2,3,3,2,1,2,2,2,1,2,2,2,1,0,3,1,3,3,3,2,1,2,0,2-154c,a3e-0:da/6a;0:df/69;0:0/0;0:0/0;0:d8/69;0:dd/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:32:51 1460575971 0x9 97;2,2,4,2,2,4,1,2,2,2,2,3,3,2,0,2,2,2,2,2,3,2,0,1,2-1548,a3b-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d7/69;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/69
2016-04-13_21:34:51 1460576091 0x9 98;2,2,1,0,2,0,2,0,1,3,4,1,2,2,4,3,2,3,2,2,2,2,1,2,4-1545,a3a-0:da/6a;0:df/67;0:0/0;0:0/0;0:d8/69;0:de/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:36:51 1460576211 0x9 99;0,2,3,2,2,2,3,2,2,2,2,3,4,1,2,3,2,3,1,2,3,3,3,3,6-1546,a3a-0:da/6b;0:df/6b;0:0/0;0:0/0;0:d8/6a;0:dd/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:38:51 1460576331 0x9 100;3,1,2,3,2,3,2,5,2,6,1,0,0,2,2,2,2,2,0,0,2,3,2,1,3-1544,a3a-0:db/6a;0:df/6a;0:0/0;0:0/0;0:d7/68;0:dd/6c;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:40:51 1460576451 0x9 101;0,2,6,2,0,1,2,5,2,5,3,2,2,1,5,2,2,2,2,2,2,2,3,0,1-1544,a3b-0:da/6a;0:df/6b;0:0/0;0:0/0;0:d8/69;0:de/6a;0:0/0;0:0/0;0:0/0;0:dc/6a
2016-04-13_21:42:51 1460576571 0x9 102;3,2,3,3,3,2,2,0,1,1,3,6,2,2,2,1,3,2,2,2,2,3,2,5,2-1543,a39-0:db/6a;0:df/6b;0:0/0;0:0/0;0:d8/6a;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6b
2016-04-13_21:44:51 1460576691 0x9 103;3,2,2,2,2,2,1,2,3,4,2,3,2,1,2,2,0,6,2,1,0,0,2,1,6-1541,a3a-0:db/6a;0:df/67;0:0/0;0:0/0;0:d8/6a;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
2016-04-13_21:46:51 1460576811 0x9 104;2,1,2,1,3,0,4,2,0,0,0,2,2,2,3,2,2,2,3,2,2,4,1,4,2-1542,a3a-0:da/68;0:de/6a;0:0/0;0:0/0;0:d9/6a;0:de/6b;0:0/0;0:0/0;0:0/0;0:db/6a
