2016-04-23_03:03:41 1461373421 0x9, 6 10 1.91 2.31 1.34
2016-04-23_03:04:58 1461373498 0x9, A 10 1.64 1.87 0.96
2016-04-23_03:05:36 1461373536 0x9, 1 11 2.20 2.16-0.12
2016-04-23_03:05:37 1461373537 0x9, 2 11 2.07 1.88-0.71
2016-04-23_03:05:40 1461373540 0x9, 5 11 1.91 2.20 0.96
2016-04-23_03:05:41 1461373541 0x9, 6 11 1.96 1.96 0.00
2016-04-23_03:06:58 1461373618 0x9, A 11 1.91 2.35 1.46
2016-04-23_03:07:36 1461373656 0x9, 1 12 1.24 2.40 4.67
2016-04-23_03:07:37 1461373657 0x9, 2 12 1.60 2.79 3.96
2016-04-23_03:07:40 1461373660 0x9, 5 12 1.79 2.52 2.38
2016-04-23_03:07:41 1461373661 0x9, 6 12 2.27 2.16-0.38
2016-04-23_03:08:58 1461373738 0x9, A 12 1.64 2.23 2.20
2016-04-23_03:09:36 1461373776 0x9, 1 13 1.27 2.11 3.57
2016-04-23_03:09:37 1461373777 0x9, 2 13 1.36 2.00 2.73
2016-04-23_03:09:40 1461373780 0x9, 5 13 1.79 1.91 0.45
2016-04-23_03:09:41 1461373781 0x9, 6 13 1.91 2.07 0.56
2016-04-23_03:10:58 1461373858 0x9, A 13 2.35 1.95-1.31
2016-04-23_03:11:36 1461373896 0x9, 1 14 1.79 3.03 3.71
2016-04-23_03:11:37 1461373897 0x9, 2 14 1.24 2.20 4.05
2016-04-23_03:11:40 1461373900 0x9, 5 14 1.96 2.64 2.10
2016-04-23_03:11:41 1461373901 0x9, 6 14 1.84 2.16 1.13
2016-04-23_03:12:58 1461373978 0x9, A 14 2.16 2.59 1.31
2016-04-23_03:13:36 1461374016 0x9, 1 15 1.55 2.31 2.81
2016-04-23_03:13:37 1461374017 0x9, 2 15 1.44 2.44 3.73
2016-04-23_03:13:40 1461374020 0x9, 5 15 1.67 2.40 2.52
2016-04-23_03:13:41 1461374021 0x9, 6 15 2.27 2.11-0.51
2016-04-23_03:14:58 1461374098 0x9, A 15 1.36 2.63 4.69
2016-04-23_03:15:36 1461374136 0x9, 1 16 1.79 2.40 2.03
2016-04-23_03:15:37 1461374137 0x9, 2 16 1.88 2.55 2.18
2016-04-23_03:15:40 1461374140 0x9, 5 16 1.72 2.40 2.35
2016-04-23_03:15:41 1461374141 0x9, 6 16 1.88 2.40 1.72
2016-04-23_03:16:58 1461374218 0x9, A 16 1.79 2.15 1.29
2016-04-23_03:17:36 1461374256 0x9, 1 17 1.55 2.07 2.03
2016-04-23_03:17:37 1461374257 0x9, 2 17 1.36 2.44 4.13
2016-04-23_03:17:40 1461374260 0x9, 5 17 1.88 1.72-0.62
2016-04-23_03:17:41 1461374261 0x9, 6 17 2.24 2.40 0.48
2016-04-23_03:18:58 1461374338 0x9, A 17 2.20 2.71 1.50
2016-04-23_03:20:58 1461374458 0x9, A 18 1.60 2.15 2.12
2016-04-23_03:22:58 1461374578 0x9, A 19 2.40 2.27-0.36
2016-04-23_03:24:58 1461374698 0x9, A 20 2.55 2.39-0.45
2016-04-23_03:25:35 1461374735 0x9, 1 21 1.52 2.16 2.48
2016-04-23_03:25:36 1461374736 0x9, 2 21 1.72 2.11 1.48
2016-04-23_03:25:39 1461374739 0x9, 5 21 2.03 2.96 2.63
2016-04-23_03:25:40 1461374740 0x9, 6 21 2.00 2.52 1.63
2016-04-23_03:26:58 1461374818 0x9, A 21 1.84 2.03 0.73
2016-04-23_03:27:35 1461374855 0x9, 1 22 1.84 2.16 1.13
2016-04-23_03:27:36 1461374856 0x9, 2 22 1.08 2.31 5.41
2016-04-23_03:27:39 1461374859 0x9, 5 22 2.48 2.07-1.24
2016-04-23_03:27:40 1461374860 0x9, 6 22 1.96 2.24 0.94
2016-04-23_03:28:58 1461374938 0x9, A 22 1.67 2.27 2.16
2016-04-23_03:29:35 1461374975 0x9, 1 23 1.88 2.40 1.72
2016-04-23_03:29:36 1461374976 0x9, 2 23 1.88 2.44 1.84
2016-04-23_03:29:39 1461374979 0x9, 5 23 2.68 2.72 0.10
2016-04-23_03:29:40 1461374980 0x9, 6 23 1.91 2.92 2.96
2016-04-23_03:30:58 1461375058 0x9, A 23 2.31 2.35 0.12
2016-04-23_03:31:35 1461375095 0x9, 1 24 1.64 2.20 2.08
2016-04-23_03:31:36 1461375096 0x9, 2 24 1.20 2.24 4.41
2016-04-23_03:31:39 1461375099 0x9, 5 24 2.11 2.40 0.87
2016-04-23_03:31:40 1461375100 0x9, 6 24 1.60 1.79 0.83
2016-04-23_03:32:58 1461375178 0x9, A 24 1.91 2.39 1.58
2016-04-23_03:33:35 1461375215 0x9, 1 25 1.64 2.40 2.69
2016-04-23_03:33:36 1461375216 0x9, 2 25 1.79 2.24 1.54
2016-04-23_03:33:39 1461375219 0x9, 5 25 1.84 2.55 2.33
2016-04-23_03:33:40 1461375220 0x9, 6 25 1.60 2.64 3.54
2016-04-23_03:34:58 1461375298 0x9, A 25 1.84 1.95 0.44
2016-04-23_03:35:35 1461375335 0x9, 1 26 1.52 2.35 3.11
2016-04-23_03:35:36 1461375336 0x9, 2 26 1.27 2.24 3.96
2016-04-23_03:35:39 1461375339 0x9, 5 26 1.91 2.03 0.42
2016-04-23_03:35:40 1461375340 0x9, 6 26 1.67 2.24 2.03
2016-04-23_03:36:58 1461375418 0x9, A 26 1.67 2.47 2.75
2016-04-23_03:37:35 1461375455 0x9, 1 27 1.84 1.96 0.44
2016-04-23_03:37:36 1461375456 0x9, 2 27 1.64 2.44 2.81
2016-04-23_03:37:39 1461375459 0x9, 5 27 2.16 2.55 1.20
2016-04-23_03:37:40 1461375460 0x9, 6 27 1.72 2.27 1.99
2016-04-23_03:38:58 1461375538 0x9, A 27 1.60 2.07 1.85
2016-04-23_03:39:35 1461375575 0x9, 1 28 1.60 1.88 1.14
2016-04-23_03:39:36 1461375576 0x9, 2 28 1.91 2.11 0.70
2016-04-23_03:39:39 1461375579 0x9, 5 28 2.00 2.07 0.27
2016-04-23_03:39:40 1461375580 0x9, 6 28 1.67 1.67 0.00
2016-04-23_03:40:58 1461375658 0x9, A 28 1.76 1.95 0.76
2016-04-23_03:42:58 1461375778 0x9, A 29 1.48 2.44 3.54
2016-04-23_03:44:58 1461375898 0x9, A 30 1.72 2.12 1.48
2016-04-23_03:45:57 1461375957 0x9, 1 32 1.76 2.64 2.87
2016-04-23_03:45:58 1461375958 0x9, 2 32 1.24 1.84 2.79
2016-04-23_03:46:01 1461375961 0x9, 5 32 2.03 1.76-1.04
2016-04-23_03:46:02 1461375962 0x9, 6 32 1.88 2.16 0.98
2016-04-23_03:46:58 1461376018 0x9, A 31 1.55 2.23 2.56
2016-04-23_03:47:57 1461376077 0x9, 1 33 1.48 2.27 3.05
2016-04-23_03:47:58 1461376078 0x9, 2 33 1.32 2.35 4.11
2016-04-23_03:48:01 1461376081 0x9, 5 33 2.40 2.40 0.00
2016-04-23_03:48:02 1461376082 0x9, 6 33 1.88 2.16 0.98
2016-04-23_03:48:58 1461376138 0x9, A 32 2.16 2.59 1.31
2016-04-23_03:49:56 1461376196 0x9, 1 34 1.55 2.40 3.05
2016-04-23_03:49:58 1461376198 0x9, 2 34 1.76 2.31 1.95
2016-04-23_03:50:01 1461376201 0x9, 5 34 2.59 2.07-1.58
2016-04-23_03:50:01 1461376201 0x9, 6 34 1.76 2.03 1.04
2016-04-23_03:50:58 1461376258 0x9, A 33 2.52 2.27-0.70
2016-04-23_03:51:56 1461376316 0x9, 1 35 2.03 2.07 0.13
2016-04-23_03:51:57 1461376317 0x9, 2 35 1.67 1.60-0.34
2016-04-23_03:52:00 1461376320 0x9, 5 35 2.31 2.31 0.00
2016-04-23_03:52:58 1461376378 0x9, A 34 2.11 2.00-0.41
2016-04-23_03:53:57 1461376437 0x9, 1 36 1.32 2.20 3.61
2016-04-23_03:53:58 1461376438 0x9, 2 36 2.07 2.35 0.89
2016-04-23_03:54:00 1461376440 0x9, 5 36 1.96 2.76 2.42
2016-04-23_03:54:58 1461376498 0x9, A 35 2.48 2.35-0.35
2016-04-23_03:55:57 1461376557 0x9, 1 37 1.44 2.27 3.25
2016-04-23_03:55:58 1461376558 0x9, 2 37 1.55 2.44 3.16
2016-04-23_03:56:01 1461376561 0x9, 5 37 2.07 2.72 1.89
2016-04-23_03:56:02 1461376562 0x9, 6 37 1.39 2.76 4.80
2016-04-23_03:56:58 1461376618 0x9, A 36 2.35 2.07-0.89
2016-04-23_03:57:57 1461376677 0x9, 1 38 1.88 2.03 0.57
2016-04-23_03:57:58 1461376678 0x9, 2 38 1.76 2.52 2.54
2016-04-23_03:58:01 1461376681 0x9, 5 38 1.76 2.16 1.45
2016-04-23_03:58:02 1461376682 0x9, 6 38 1.55 1.91 1.47
2016-04-23_03:58:58 1461376738 0x9, A 37 1.44 2.03 2.46
2016-04-23_03:59:57 1461376797 0x9, 1 39 1.20 2.11 4.02
2016-04-23_03:59:57 1461376797 0x9, 2 39 1.76 1.76 0.00
2016-04-23_04:00:00 1461376800 0x9, 5 39 2.24 2.52 0.83
2016-04-23_04:00:58 1461376858 0x9, A 38 2.00 2.15 0.54
2016-04-23_04:01:56 1461376916 0x9, 1 40 2.11 3.11 2.73
2016-04-23_04:01:58 1461376918 0x9, 2 40 1.36 2.20 3.40
2016-04-23_04:02:01 1461376921 0x9, 5 40 1.79 1.96 0.60
2016-04-23_04:02:02 1461376922 0x9, 6 40 2.00 2.35 1.17
2016-04-23_04:02:58 1461376978 0x9, A 39 1.52 1.91 1.65
2016-04-23_04:03:56 1461377036 0x9, 1 41 1.96 2.11 0.55
2016-04-23_04:03:57 1461377037 0x9, 2 41 1.60 2.11 1.99
2016-04-23_04:04:00 1461377040 0x9, 5 41 2.24 2.03-0.66
2016-04-23_04:04:02 1461377042 0x9, 6 41 1.79 2.31 1.79
2016-04-23_04:04:58 1461377098 0x9, A 40 1.96 2.44 1.55
2016-04-23_04:05:56 1461377156 0x9, 1 42 1.60 2.40 2.87
2016-04-23_04:05:57 1461377157 0x9, 2 42 1.76 1.96 0.76
2016-04-23_04:06:00 1461377160 0x9, 5 42 2.27 1.84-1.51
2016-04-23_04:06:58 1461377218 0x9, A 41 1.84 2.59 2.44
2016-04-23_04:07:56 1461377276 0x9, 1 43 1.67 2.07 1.51
2016-04-23_04:07:58 1461377278 0x9, 2 43 1.00 2.44 6.31
2016-04-23_04:08:00 1461377280 0x9, 5 43 1.76 2.31 1.95
2016-04-23_04:08:58 1461377338 0x9, A 42 1.88 2.23 1.24
2016-04-23_04:09:56 1461377396 0x9, 1 44 1.67 2.48 2.75
2016-04-23_04:09:57 1461377397 0x9, 2 44 2.03 2.88 2.44
2016-04-23_04:10:00 1461377400 0x9, 5 44 2.00 1.91-0.28
2016-04-23_04:10:58 1461377458 0x9, A 43 1.52 2.39 3.23
2016-04-23_04:11:56 1461377516 0x9, 1 45 1.72 2.48 2.59
2016-04-23_04:11:57 1461377517 0x9, 2 45 2.11 2.16 0.13
2016-04-23_04:12:01 1461377521 0x9, 5 45 2.03 2.35 1.03
2016-04-23_04:12:02 1461377522 0x9, 6 45 1.91 1.72-0.77
2016-04-23_04:12:58 1461377578 0x9, A 44 2.03 2.63 1.82
