13 Apr 23:55:51 ntpdate[2384]: no server suitable for synchronization found
 4 May 20:12:47 ntpdate[7737]: step time server 192.168.1.1 offset 9183.250515 sec
 9 May 14:26:04 ntpdate[3340]: step time server 192.168.1.1 offset 10015.951934 sec
 9 May 14:54:09 ntpdate[4241]: adjust time server 192.168.1.1 offset -0.092258 sec
 9 May 14:59:09 ntpdate[4433]: adjust time server 192.168.1.1 offset 0.029822 sec
 9 May 15:04:09 ntpdate[4615]: adjust time server 192.168.1.1 offset -0.014751 sec
 9 May 15:09:08 ntpdate[4788]: adjust time server 192.168.1.1 offset 0.001653 sec
 9 May 15:14:09 ntpdate[4962]: adjust time server 192.168.1.1 offset -0.009271 sec
 9 May 15:19:09 ntpdate[5172]: adjust time server 192.168.1.1 offset -0.009281 sec
 9 May 15:24:09 ntpdate[5405]: adjust time server 192.168.1.1 offset -0.010051 sec
 9 May 15:29:09 ntpdate[5579]: adjust time server 192.168.1.1 offset -0.009561 sec
 9 May 15:34:09 ntpdate[5761]: adjust time server 192.168.1.1 offset -0.010309 sec
 9 May 15:39:09 ntpdate[5953]: adjust time server 192.168.1.1 offset -0.010119 sec
 9 May 15:44:09 ntpdate[6126]: adjust time server 192.168.1.1 offset -0.007834 sec
 9 May 15:49:08 ntpdate[6310]: adjust time server 192.168.1.1 offset 0.016496 sec
 9 May 15:54:09 ntpdate[6484]: adjust time server 192.168.1.1 offset -0.042943 sec
 9 May 15:59:09 ntpdate[6675]: adjust time server 192.168.1.1 offset 0.008733 sec
 9 May 16:04:09 ntpdate[6857]: adjust time server 192.168.1.1 offset 0.023236 sec
 9 May 16:09:09 ntpdate[7030]: adjust time server 192.168.1.1 offset -0.073431 sec
 9 May 16:14:09 ntpdate[7206]: adjust time server 192.168.1.1 offset 0.020254 sec
 9 May 16:19:09 ntpdate[7416]: adjust time server 192.168.1.1 offset -0.018220 sec
 9 May 16:24:08 ntpdate[7590]: adjust time server 192.168.1.1 offset 0.006739 sec
 9 May 16:29:09 ntpdate[7763]: adjust time server 192.168.1.1 offset -0.024988 sec
 9 May 16:34:09 ntpdate[7945]: adjust time server 192.168.1.1 offset -0.009531 sec
 9 May 16:39:09 ntpdate[8137]: adjust time server 192.168.1.1 offset -0.010890 sec
 9 May 16:44:09 ntpdate[8313]: adjust time server 192.168.1.1 offset -0.004094 sec
 9 May 16:49:09 ntpdate[8494]: adjust time server 192.168.1.1 offset -0.014434 sec
 9 May 16:54:09 ntpdate[8667]: adjust time server 192.168.1.1 offset -0.010264 sec
 9 May 16:59:09 ntpdate[8858]: adjust time server 192.168.1.1 offset -0.009371 sec
 9 May 17:04:09 ntpdate[9041]: adjust time server 192.168.1.1 offset -0.005089 sec
 9 May 17:09:09 ntpdate[9214]: adjust time server 192.168.1.1 offset -0.004690 sec
 9 May 17:14:08 ntpdate[9388]: adjust time server 192.168.1.1 offset 0.000034 sec
 9 May 17:19:09 ntpdate[9598]: adjust time server 192.168.1.1 offset -0.040365 sec
 9 May 17:24:09 ntpdate[9771]: adjust time server 192.168.1.1 offset 0.020154 sec
 9 May 17:29:09 ntpdate[9944]: adjust time server 192.168.1.1 offset -0.022093 sec
 9 May 17:34:09 ntpdate[10127]: adjust time server 192.168.1.1 offset -0.006700 sec
 9 May 17:39:09 ntpdate[10318]: adjust time server 192.168.1.1 offset -0.010405 sec
 9 May 17:44:09 ntpdate[10492]: adjust time server 192.168.1.1 offset -0.001904 sec
 9 May 17:49:09 ntpdate[10674]: adjust time server 192.168.1.1 offset 0.003408 sec
 9 May 17:54:08 ntpdate[10846]: adjust time server 192.168.1.1 offset -0.035962 sec
 9 May 17:59:09 ntpdate[11037]: adjust time server 192.168.1.1 offset 0.004309 sec
 9 May 18:04:10 ntpdate[11219]: adjust time server 192.168.1.1 offset -0.024215 sec
 9 May 18:09:09 ntpdate[11392]: adjust time server 192.168.1.1 offset -0.000050 sec
 9 May 18:14:09 ntpdate[11566]: adjust time server 192.168.1.1 offset -0.011425 sec
 9 May 18:19:09 ntpdate[11776]: adjust time server 192.168.1.1 offset -0.001871 sec
 9 May 18:24:09 ntpdate[11950]: adjust time server 192.168.1.1 offset -0.009838 sec
 9 May 18:29:08 ntpdate[12122]: adjust time server 192.168.1.1 offset 0.064254 sec
 9 May 18:34:09 ntpdate[12305]: adjust time server 192.168.1.1 offset -0.145201 sec
 9 May 18:39:09 ntpdate[12495]: adjust time server 192.168.1.1 offset 0.004124 sec
 9 May 18:44:09 ntpdate[12668]: adjust time server 192.168.1.1 offset -0.018724 sec
 9 May 18:49:09 ntpdate[12850]: adjust time server 192.168.1.1 offset -0.007400 sec
 9 May 18:54:09 ntpdate[13024]: adjust time server 192.168.1.1 offset -0.010888 sec
 9 May 18:59:11 ntpdate[13215]: adjust time server 192.168.1.1 offset -0.008314 sec
 9 May 19:04:08 ntpdate[13400]: adjust time server 192.168.1.1 offset -0.011801 sec
 9 May 19:09:08 ntpdate[13576]: adjust time server 192.168.1.1 offset -0.007855 sec
 9 May 19:14:09 ntpdate[13749]: adjust time server 192.168.1.1 offset -0.010627 sec
 9 May 19:19:10 ntpdate[2469]: no server suitable for synchronization found
10 May 02:45:31 ntpdate[2687]: step time server 192.168.1.1 offset 26482.324020 sec
10 May 02:50:09 ntpdate[2927]: adjust time server 192.168.1.1 offset 0.004052 sec
10 May 02:55:08 ntpdate[3100]: adjust time server 192.168.1.1 offset -0.033264 sec
10 May 03:00:09 ntpdate[3300]: adjust time server 192.168.1.1 offset 0.015796 sec
10 May 03:05:09 ntpdate[3475]: adjust time server 192.168.1.1 offset -0.035775 sec
10 May 03:10:09 ntpdate[3649]: adjust time server 192.168.1.1 offset 0.006012 sec
10 May 03:15:09 ntpdate[3831]: adjust time server 192.168.1.1 offset -0.014889 sec
10 May 03:20:09 ntpdate[4032]: adjust time server 192.168.1.1 offset 0.002037 sec
10 May 03:25:09 ntpdate[4205]: adjust time server 192.168.1.1 offset -0.014135 sec
10 May 03:30:09 ntpdate[4387]: adjust time server 192.168.1.1 offset 0.007228 sec
10 May 03:35:09 ntpdate[4560]: adjust time server 192.168.1.1 offset -0.024864 sec
10 May 03:40:08 ntpdate[4752]: adjust time server 192.168.1.1 offset -0.012263 sec
10 May 03:45:08 ntpdate[4934]: adjust time server 192.168.1.1 offset -0.007276 sec
10 May 03:50:09 ntpdate[5107]: adjust time server 192.168.1.1 offset -0.009665 sec
10 May 03:55:09 ntpdate[5280]: adjust time server 192.168.1.1 offset -0.007457 sec
10 May 04:00:08 ntpdate[5480]: adjust time server 192.168.1.1 offset 0.123195 sec
10 May 04:05:09 ntpdate[5658]: adjust time server 192.168.1.1 offset -0.169044 sec
10 May 04:10:09 ntpdate[5831]: adjust time server 192.168.1.1 offset -0.057297 sec
10 May 04:15:09 ntpdate[6013]: adjust time server 192.168.1.1 offset 0.020673 sec
10 May 04:20:08 ntpdate[6217]: adjust time server 192.168.1.1 offset -0.015433 sec
10 May 04:25:09 ntpdate[6390]: adjust time server 192.168.1.1 offset -0.008722 sec
10 May 04:30:09 ntpdate[6572]: adjust time server 192.168.1.1 offset -0.008078 sec
10 May 04:35:09 ntpdate[6748]: adjust time server 192.168.1.1 offset 0.013172 sec
10 May 04:40:09 ntpdate[6938]: adjust time server 192.168.1.1 offset -0.001069 sec
10 May 04:45:09 ntpdate[7120]: adjust time server 192.168.1.1 offset -0.035519 sec
10 May 04:50:08 ntpdate[7296]: adjust time server 192.168.1.1 offset -0.004341 sec
10 May 04:55:08 ntpdate[7469]: adjust time server 192.168.1.1 offset -0.016251 sec
