2016-05-24_04:05:32 1464055532 0x1 41;a,2,2,b,2,1,0,8,2,1,0,1,5,1,1,0,0,1,3,2,1,2,1,2,2-16d8,a14-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6c;1:f1/69;0:0/0;0:0/0;0:d3/4b;0:0/0
2016-05-24_04:07:32 1464055652 0x1 42;1,2,2,2,0,0,b,1,2,1,5,2,2,5,1,2,1,0,0,2,2,0,1,2,2-16d2,a13-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:f0/6b;0:0/0;0:0/0;0:d4/5b;0:0/0
2016-05-24_04:09:32 1464055772 0x1 43;0,1,3,1,1,2,2,3,2,3,2,1,2,0,1,0,1,1,0,1,2,0,9,3,2-16cf,a12-0:0/0;1:0/6a;0:0/0;0:0/0;1:ef/6c;1:ef/6a;0:0/0;0:0/0;0:d4/55;0:0/0
2016-05-24_04:11:32 1464055892 0x1 44;2,2,2,2,2,2,b,1,0,1,a,2,0,2,b,2,1,2,2,1,b,2,0,1,2-16cd,a15-0:0/0;1:0/6b;0:0/0;0:0/0;1:ef/6a;1:f0/6b;0:0/0;0:0/0;0:d5/64;0:0/0
2016-05-24_04:13:32 1464056012 0x1 45;4,4,4,1,2,0,0,0,1,2,3,2,0,2,2,1,3,2,2,0,2,1,2,2,b-16ce,a1a-0:0/0;1:0/6c;0:0/0;0:0/0;1:ef/6b;1:ef/6a;0:0/0;0:0/0;0:d5/63;0:0/0
2016-05-24_04:15:32 1464056132 0x1 46;0,2,6,2,1,2,0,1,1,1,4,2,2,4,2,3,2,2,1,0,0,2,3,2,1-16cf,a1b-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6b;1:f1/69;0:0/0;0:0/0;0:d5/5c;0:0/0
2016-05-24_04:17:32 1464056252 0x1 47;0,2,0,2,2,2,2,2,2,2,8,1,2,2,2,2,0,1,9,0,2,0,2,2,0-16d0,a1a-0:0/0;1:0/69;0:0/0;0:0/0;1:ef/6c;1:f1/6b;0:0/0;0:0/0;0:d5/60;0:0/0
2016-05-24_04:19:32 1464056372 0x1 48;2,1,2,2,4,1,0,1,1,1,0,2,2,2,2,1,1,0,2,2,2,0,2,1,2-16cc,a13-0:0/0;1:0/6a;0:0/0;0:0/0;1:ee/6c;1:f1/69;0:0/0;0:0/0;0:d4/5a;0:0/0
2016-05-24_04:21:32 1464056492 0x1 49;4,1,2,2,2,1,2,0,2,1,3,2,0,2,1,2,2,2,0,2,2,1,0,b,2-16c8,a11-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6a;1:ef/6b;0:0/0;0:0/0;0:d4/60;0:0/0
2016-05-24_04:23:32 1464056612 0x1 50;0,0,0,0,2,1,b,2,2,0,1,2,1,2,1,2,2,2,1,2,2,1,2,0,2-16c7,a15-0:0/0;1:0/6b;0:0/0;0:0/0;1:ed/6b;1:ef/67;0:0/0;0:0/0;0:d5/5e;0:0/0
2016-05-24_04:25:32 1464056732 0x1 51;2,1,2,2,2,2,2,2,0,1,2,3,2,2,2,2,2,2,1,1,2,2,0,2,3-16c7,a15-0:0/0;1:0/6c;0:0/0;0:0/0;1:ed/6b;1:ef/6b;0:0/0;0:0/0;0:d4/5d;0:0/0
2016-05-24_04:27:32 1464056852 0x1 52;0,2,3,2,0,1,2,1,2,3,3,0,2,1,3,3,2,0,2,0,2,1,2,0,2-16c4,a10-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6c;1:ef/6a;0:0/0;0:0/0;0:d4/58;0:0/0
2016-05-24_04:29:32 1464056972 0x1 53;7,2,2,1,0,1,2,0,2,2,1,2,1,1,2,0,2,0,2,2,1,2,2,2,0-16c5,a15-0:0/0;1:0/6b;0:0/0;0:0/0;1:ee/6c;1:ef/6b;0:0/0;0:0/0;0:d4/5e;0:0/0
