2016-04-20_10:02:01 1461139321 0x9 219;4c8,4c9,4c8,4c9,4c9,4c7,4c7,4c9,4c8,4c7,4c7,4c6,4c7,4c8,4ca,4c7,4c6,4c8,4c6,4c5,4c8,4cb,4c7,4c6,4c8-16eb,85c-4:d5/65;4:d5/63;0:0/0;0:0/0;4:da/6b;4:df/6b;0:0/0;0:0/0;0:00x9, 1 219 857.79 1265.92 2.75
2016-04-20_10:04:02 1461139442 0x9 220;53c,53d,53c,53c,53e,539,53c,53d,53a,53c,53d,53a,53c,53c,53d,53c,53c,53f,53d,53e,53a,53d,53d,53d,53d-1747,86a-1:d0x9, 2 220 1272.04 1337.43 0.35
2016-04-20_10:06:02 1461139562 0x9 221;511,510,511,510,511,50f,511,50c,511,514,510,510,510,50a,511,510,513,511,510,510,512,50e,512,512,511-17f6,84f-1:d4/65;1:d6/66;0:0/0;0:0/0;1:db/6b;1:de/6b;0:0/0;0:0/0;0:00x9, 2 221 1086.19 1243.71 0.95
2016-04-20_10:07:46 1461139666 0x9 222;4bb,4ba,4ba,4bb,4bb,4b7,4bb,4bb,4ba,4b6,4b9,4b6,4b9,4b9,4ba,4b6,4be,4ba,4b9,4ba,4bd,4b9,4b9,4ba,4bb-17ec,7f4-1:d3/62;1:d5/66;0:0/0;0:0/0;1:da/6a;1:dd/6a;0:0/0;0:0/0;0:0/0;2:d9/6a
2016-04-20_10:09:46 1461139786 0x9 223;499,498,49e,499,499,499,499,49c,499,499,498,498,498,499,498,49b,499,498,499,499,498,498,497,49c,498-17ec,7ed-1:d5/64;1:d6/66;0:0/0;0:0/0;1:da/68;1:de/6a;0:0/0;0:0/0;0:0/0;2:da/6a
2016-04-20_10:11:46 1461139906 0x9 224;491,48f,491,48f,490,490,490,498,48f,490,490,490,490,490,492,48c,490,48c,490,48f,490,490,492,490,491-1780,7d7-1:d4/65;1:d5/64;0:0/0;0:0/0;1:d9/69;1:dd/6a;0:0/0;0:0/0;0:0/0;2:d9/6b
2016-04-20_10:13:46 1461140026 0x9 225;48e,48d,48d,48d,488,48d,494,48c,48d,48e,48c,48d,48d,48c,48c,48d,48d,48d,48b,48b,48c,493,48e,48e,48b-1720,7ed-1:d4/67;1:d5/5e;0:0/0;0:0/0;1:da/69;1:de/6c;0:0/0;0:0/0;0:0/0;2:d9/6b
2016-04-20_10:15:46 1461140146 0x9 226;544,543,545,543,542,544,544,545,543,544,54a,544,545,545,544,545,544,543,545,547,544,545,545,54a,546-16f0,813-1:d4/5d;1:d7/60;0:0/0;0:0/0;1:db/6b;1:df/6c;0:0/0;0:0/0;0:0/0;2:d9/6c
2016-04-20_10:18:48 1461140328 0x9 227;537,537,533,537,536,536,530,534,535,535,536,539,536,535,536,535,535,536,535,535,536,536,537,535,536-17f9,84d-1:d5/64;1:d7/6a;0:0/0;0:0/0;1:d0x9, A 226 1211.28 1220.00 0.05
2016-04-20_10:20:48 1461140448 0x9 228;4dd,4dd,4de,4de,4e0,4df,4dd,4de,4de,4de,4dc,4dc,4dc,4db,4dc,4db,4dc,4db,4dc,4dd,4dc,4de,4dd,4dd,4db-1863,7fe-2:d5/64;2:d7/6a;0:0/0;0:0/0;2:db/6a;2:de/6b;0:0/0;0:0/0;0:00x9, A 227 1216.95 1246.78 0.17
2016-04-20_10:22:39 1461140559 0x9 229;4ce,4cf,4cf,4cf,4c9,4c9,4d2,4d1,4d1,4cb,4cf,4ce,4cf,4cf,4cf,4ce,4ce,4d0,4ce,4ce,4cd,4cd,4ce,4ce,4cf-1891,7e3-3:d5/64;3:d7/6a;0:0/0;0:0/0;3:db/6a;3:de/6b;0:0/0;0:0/0;0:00x9, 1 229 635.23 1182.16 4.39
2016-04-20_10:27:46 1461140866 0x9 232;4af,4ae,4af,4af,4ae,4af,4ae,4ad,4af,4b0,4af,4ae,4b1,4b0,4af,4b0,4af,4af,4ae,4ad,4af,4b0,4af,4af,4ac-174c,7cd-1:d5/63;1:d7/66;0:0/0;0:0/0;1:d9/6a;1:dd/6b;0:0/0;0:0/0;0:0/0;2:da/6c
2016-04-20_10:29:46 1461140986 0x9 233;4e4,4e6,4e4,4e4,4de,4e5,4e0,4e8,4e8,4e0,4e8,4e7,4e3,4e7,4e6,4e6,4e1,4e5,4e6,4e5,4e6,4e5,4e5,4e5,4e1-1723,80a-1:d4/65;1:d7/68;0:0/0;0:0/0;1:db/68;1:df/6c;0:0/0;0:0/0;0:0/0;2:d9/6b
2016-04-20_10:31:46 1461141106 0x9 234;53a,53a,53a,53b,539,53b,53b,53b,53c,53b,53a,53b,53b,53c,53e,53a,53c,53c,53c,53b,53a,53b,53a,53b,53e-17b9,82e-1:d4/5f;1:d7/65;0:0/0;0:0/0;1:d9/69;1:de/6c;0:0/0;0:0/0;0:0/0;2:d9/6b
